Wavelength,Flux,FluxErr
8.201453279697361722e+03,2.644651938100089598e-12,2.679026853797153020e-15
8.225674334105327944e+03,2.588879840835902359e-12,5.453684329833936015e-15
8.249895388513292346e+03,2.496262101504214725e-12,3.086872534583779575e-15
8.274116442921260386e+03,2.555383218118943994e-12,3.162136043521051135e-15
8.298337497329226608e+03,2.606866042624871714e-12,2.532074787792534936e-15
8.322558551737192829e+03,2.640810320555117230e-12,2.631196581699357519e-15
8.346779606145159050e+03,2.624662303715446068e-12,4.316652692088421636e-15
8.371000660553125272e+03,2.626215457145283764e-12,3.481833541509489062e-15
8.395221714961091493e+03,2.606492404736723667e-12,2.680018061946709197e-15
8.419442769369055895e+03,2.575951603179458778e-12,3.963420747121708344e-15
8.443663823777023936e+03,2.545451471552929034e-12,2.245938638392800247e-15
8.467884878184990157e+03,2.561060956500667574e-12,2.333442287407338318e-15
8.492105932592956378e+03,2.510318039842432746e-12,2.260652994936489613e-15
8.516326987000922600e+03,2.511409496470189916e-12,2.149323775412447342e-15
8.540548041408888821e+03,2.504936823976836765e-12,1.941617096396821721e-15
8.564769095816855042e+03,2.499140548361808082e-12,2.733683190036252988e-15
8.588990150224821264e+03,2.497781543741639506e-12,2.173182486752456759e-15
8.613211204632787485e+03,2.592960994011498790e-12,2.099226674029000777e-15
8.637432259040753706e+03,2.545564232054659458e-12,3.810289168512711613e-15
8.661653313448719928e+03,2.604221902781332883e-12,2.421125961128586119e-15
8.685874367856687968e+03,2.524955770802653494e-12,3.601781293867989816e-15
8.710095422264652370e+03,2.444735361078373886e-12,1.711513744275987202e-15
8.734316476672618592e+03,2.458161122294499761e-12,3.297038553147887410e-15
8.758537531080584813e+03,2.558636803852812879e-12,2.936754675247260356e-15
8.782758585488552853e+03,2.619622362705870886e-12,1.921372454791179300e-15
8.806979639896517256e+03,2.637656233003530342e-12,9.423904411289625419e-16
8.831200694304483477e+03,2.642199680492465135e-12,1.815304851648240107e-15
8.855421748712451517e+03,2.587057009253148051e-12,1.922631881879635742e-15
8.879642803120415920e+03,2.622775210089506758e-12,2.066045518536904150e-15
8.903863857528383960e+03,2.643585832176047542e-12,2.507784951600333121e-15
8.928084911936348362e+03,2.632790830629101196e-12,1.610120566819050452e-15
8.952305966344316403e+03,2.628601235831541803e-12,1.657306537717734028e-15
8.976527020752280805e+03,2.595145798223525735e-12,1.219453584720949596e-15
9.000748075160248845e+03,2.644158762713410181e-12,1.088369812499938082e-15
9.024969129568215067e+03,2.665970121123867062e-12,1.222409617093631072e-15
9.049190183976179469e+03,2.649559865571524969e-12,1.644513845519719187e-15
9.073411238384147509e+03,2.635921943145934850e-12,1.755980493706459905e-15
9.097632292792113731e+03,2.673460653872650179e-12,1.539365804632803758e-15
9.121853347200079952e+03,2.622684069993300539e-12,1.468055734159786039e-15
9.146074401608044354e+03,2.630248112446268547e-12,1.903703050547694682e-15
9.170295456016012395e+03,2.685866919225153651e-12,1.983569849795667308e-15
9.194516510423978616e+03,2.708885253442290577e-12,1.501498312642637639e-15
9.218737564831944837e+03,2.700367180489566484e-12,1.180743988709751927e-15
9.242958619239911059e+03,2.700445560486856184e-12,1.264515364661764184e-15
9.267179673647877280e+03,2.670112091514071448e-12,1.608493260497922334e-15
9.291400728055843501e+03,2.652603529297226144e-12,1.378778206317805770e-15
9.315621782463809723e+03,2.679438560853074231e-12,9.673662821956117659e-16
9.339842836871775944e+03,2.671727494226505645e-12,1.581277737110123585e-15
9.364063891279740346e+03,2.693694396295464075e-12,1.195034812579545910e-15
9.388284945687708387e+03,2.619420947270200887e-12,1.438661947927753156e-15
9.412506000095676427e+03,2.620523950376849920e-12,1.262021680102071539e-15
9.436727054503640829e+03,2.624534112836179728e-12,1.491534196872311695e-15
9.460948108911607051e+03,2.629253237526042639e-12,1.054758185365830830e-15
9.485169163319573272e+03,2.646976428349851716e-12,1.564871149460658477e-15
9.509390217727539493e+03,2.662739540969421426e-12,1.709098038906501584e-15
9.533611272135505715e+03,2.660128286082292519e-12,1.407494601258962722e-15
9.557832326543471936e+03,2.654156697192707112e-12,1.217225855900601295e-15
9.582053380951439976e+03,2.659544238184631117e-12,1.536957236109828229e-15
9.606274435359404379e+03,2.658184506995190237e-12,1.166901352577655509e-15
9.630495489767372419e+03,2.651655383470434676e-12,1.250369902298508024e-15
9.654716544175336821e+03,2.622683727450430898e-12,1.147120238149695929e-15
9.678937598583303043e+03,2.619134458017710734e-12,1.117897332808267089e-15
9.703158652991269264e+03,2.616383086354913411e-12,1.382020520615752900e-15
9.727379707399237304e+03,2.616868923790767888e-12,1.613798313345978006e-15
9.751600761807203526e+03,2.597821871650400573e-12,2.387452263691174996e-15
9.775821816215167928e+03,2.608875868130435587e-12,1.406252567523639849e-15
9.800042870623135968e+03,2.610915826025223685e-12,1.399872141344869414e-15
9.824263925031100371e+03,2.615675788515455896e-12,1.353666295116003812e-15
9.848484979439068411e+03,2.638751742481819269e-12,1.693373961306949268e-15
9.872706033847032813e+03,2.633785074031341426e-12,1.092039847223975715e-15
9.896927088255000854e+03,2.596572626263223957e-12,2.060405914937753977e-15
9.921148142662967075e+03,2.591120459038493730e-12,1.783823526291398059e-15
9.945369197070933296e+03,2.517686148746708834e-12,1.265849652562584786e-15
9.969590251478899518e+03,2.535215848599859693e-12,1.885174798516352364e-15
9.993811305886863920e+03,2.539905714017321649e-12,1.210250531753169403e-15
1.001803236029483196e+04,2.525380662494680950e-12,9.635414496340973306e-16
1.004225341470279818e+04,2.519623152915600747e-12,1.471890300670098178e-15
1.006647446911076440e+04,2.527332674283367780e-12,1.393720731346850782e-15
1.009069552351872881e+04,2.487204962446451547e-12,2.241527146071229013e-15
1.011491657792669685e+04,2.536638176470911448e-12,1.485420877656418916e-15
1.013913763233466307e+04,2.546660378480344040e-12,1.232699410325138490e-15
1.016335868674262929e+04,2.556835442561770230e-12,1.116669784722373715e-15
1.018757974115059551e+04,2.496850843625793349e-12,1.016633953830317472e-15
1.021180079555856173e+04,2.529953053325153257e-12,1.402538884729867907e-15
1.023602184996652795e+04,2.534373096486537834e-12,1.389514836414932956e-15
1.026024290437449417e+04,2.544044310543576687e-12,7.628419947765261801e-16
1.028446395878246040e+04,2.504733459707567449e-12,1.282845965502687478e-15
1.030868501319042662e+04,2.514037653311287513e-12,1.366650926199529332e-15
1.033290606759839284e+04,2.503388666623853140e-12,1.271536886174608088e-15
1.035712712200636088e+04,2.466960841024935164e-12,9.973560527214969764e-16
1.038134817641432528e+04,2.475802627364035655e-12,1.155100636106124056e-15
1.040556923082229150e+04,2.490842312253734477e-12,1.124712411468605828e-15
1.042979028523025772e+04,2.499230446123900213e-12,1.499013212085622893e-15
1.045401133963822394e+04,2.488021384282918628e-12,1.306038785008893065e-15
1.047823239404619198e+04,2.470984820640714144e-12,1.120729510946515999e-15
1.050245344845415639e+04,2.475519404926447000e-12,1.340911238068511056e-15
1.052667450286212443e+04,2.466850184688194431e-12,1.129577516473341865e-15
1.055089555727008883e+04,2.472418061302117440e-12,1.179497599151201813e-15
1.057511661167805687e+04,2.472706396240610947e-12,1.166581396823610209e-15
1.059933766608602127e+04,2.450301840537738425e-12,1.486700333511581995e-15
1.062355872049398749e+04,2.461508360026083273e-12,1.189719795756402800e-15
1.064777977490195553e+04,2.434108861354722968e-12,9.782324530346272804e-16
1.067200082930992176e+04,2.425085240646708744e-12,1.070829928635296569e-15
1.069622188371788798e+04,2.419619880900725284e-12,1.797291700733149332e-15
1.072044293812585238e+04,2.420692815871783527e-12,8.575294808059461020e-16
1.074466399253382042e+04,2.419054323024213625e-12,7.996754230515157779e-16
1.076888504694178664e+04,2.427318393658907020e-12,1.623229257289992691e-15
1.079310610134975286e+04,2.421412675176410612e-12,1.267968211934392745e-15
1.081732715575771908e+04,2.414061059896304550e-12,9.495230630163869047e-16
1.084154821016568530e+04,2.404697882787012883e-12,9.807020147922230827e-16
1.086576926457365153e+04,2.402468771127303203e-12,1.252984950945072715e-15
1.088999031898161775e+04,2.383068908006166880e-12,1.219435821457516284e-15
1.091421137338958397e+04,2.391090350065632281e-12,1.105249739169784650e-15
1.093843242779754837e+04,2.382945961545779057e-12,1.153690036002118023e-15
1.096265348220551641e+04,2.355933888741432766e-12,1.074891432052349182e-15
1.098687453661348263e+04,2.354572803335707333e-12,1.320917954922214320e-15
1.101109559102144885e+04,2.369388380525700318e-12,8.090014066036243293e-16
1.103531664542941508e+04,2.366580829407100235e-12,1.158918193302838964e-15
1.105953769983738130e+04,2.352996262344234008e-12,1.303429896549910302e-15
1.108375875424534934e+04,2.350693109263144654e-12,1.615787156120682122e-15
1.110797980865331374e+04,2.352155667361119393e-12,1.114535719265197705e-15
1.113220086306127996e+04,2.358936807446894013e-12,1.308503334490577938e-15
1.115642191746924618e+04,2.325682679008412408e-12,1.057324646680225157e-15
1.118064297187721422e+04,2.339119108697092998e-12,1.492428662486794389e-15
1.120486402628518044e+04,2.340814058754044258e-12,8.675978538821328496e-16
1.122908508069314485e+04,2.348833073360774360e-12,8.987371830468304915e-16
1.125330613510111107e+04,2.297667675992691975e-12,1.024971654320867543e-15
1.127752718950907729e+04,2.299562158853471593e-12,1.105981774263136223e-15
1.130174824391704533e+04,2.301672632466067310e-12,7.805032573590135631e-16
1.132596929832500973e+04,2.292931814370219662e-12,8.890458609575701264e-16
