Wavelength,Flux,FluxErr
8.201453279697361722e+03,2.627213519015740135e-12,2.636194552640001823e-15
8.225674334105327944e+03,2.550414124993292277e-12,2.337540750850661825e-15
8.249895388513292346e+03,2.506713472883106998e-12,5.203258960571286222e-15
8.274116442921260386e+03,2.561059677408249726e-12,4.313475551930498874e-15
8.298337497329226608e+03,2.605605361739548781e-12,4.285844910411701916e-15
8.322558551737192829e+03,2.628786560845461651e-12,2.526420410542498920e-15
8.346779606145159050e+03,2.605458399829552298e-12,2.322482082901712668e-15
8.371000660553125272e+03,2.602593418670538836e-12,1.810454581764035006e-15
8.395221714961091493e+03,2.583472890590770202e-12,1.259101813012295105e-15
8.419442769369055895e+03,2.546786426063655164e-12,2.067493445240643761e-15
8.443663823777023936e+03,2.536352233300533551e-12,3.829296396538627422e-15
8.467884878184990157e+03,2.531309757521760410e-12,1.334410361501046757e-15
8.492105932592956378e+03,2.490861835905464372e-12,2.048890077810494504e-15
8.516326987000922600e+03,2.490553899025044818e-12,2.256834426464120342e-15
8.540548041408888821e+03,2.483631749554940672e-12,1.867949928282547183e-15
8.564769095816855042e+03,2.472042042328574738e-12,1.506466357266727192e-15
8.588990150224821264e+03,2.488287243577166020e-12,3.620000265279801474e-15
8.613211204632787485e+03,2.585058101238097129e-12,2.475945212659840579e-15
8.637432259040753706e+03,2.540367198862323339e-12,2.107795517704524883e-15
8.661653313448719928e+03,2.568057446515139381e-12,1.600261423462910279e-15
8.685874367856687968e+03,2.492781786227549062e-12,2.052869474058421405e-15
8.710095422264652370e+03,2.431909624825375296e-12,2.536357748106726798e-15
8.734316476672618592e+03,2.464331860308039763e-12,4.810143604879270206e-15
8.758537531080584813e+03,2.552159756821856012e-12,3.762725977266775484e-15
8.782758585488552853e+03,2.600379876810657770e-12,2.061623307991176312e-15
8.806979639896517256e+03,2.611399164401478890e-12,1.957926487976703998e-15
8.831200694304483477e+03,2.611515691877985969e-12,1.471908004514009276e-15
8.855421748712451517e+03,2.564562623805367453e-12,2.604544646541789855e-15
8.879642803120415920e+03,2.608112380668276593e-12,2.215897489884857107e-15
8.903863857528383960e+03,2.610866499637291965e-12,2.063907324948750205e-15
8.928084911936348362e+03,2.612860972311272838e-12,2.214251295194715525e-15
8.952305966344316403e+03,2.603083026778307031e-12,1.903150620506590754e-15
8.976527020752280805e+03,2.559691610235734127e-12,2.386757338723618165e-15
9.000748075160248845e+03,2.619841539050197003e-12,2.374754103403562300e-15
9.024969129568215067e+03,2.634446325577588402e-12,1.396426955970182211e-15
9.049190183976179469e+03,2.601694629305050026e-12,1.927828390056409377e-15
9.073411238384147509e+03,2.614644732183895352e-12,1.589379064172970823e-15
9.097632292792113731e+03,2.633129360241967115e-12,1.327276402525409999e-15
9.121853347200079952e+03,2.586787785436419502e-12,1.914317830259580114e-15
9.146074401608044354e+03,2.614955468406611000e-12,3.012905088977607848e-15
9.170295456016012395e+03,2.668105613761771047e-12,2.472744439285903794e-15
9.194516510423978616e+03,2.678429162381118484e-12,2.022804404465847736e-15
9.218737564831944837e+03,2.669710629099792972e-12,1.603112106372189966e-15
9.242958619239911059e+03,2.658437853463603640e-12,1.679098568742051705e-15
9.267179673647877280e+03,2.630118178067696097e-12,1.584501106194078251e-15
9.291400728055843501e+03,2.624583026871271408e-12,2.164237783583068399e-15
9.315621782463809723e+03,2.642579702999767324e-12,1.511337753693850686e-15
9.339842836871775944e+03,2.633070426320533315e-12,1.204873664467449986e-15
9.364063891279740346e+03,2.658081504253394190e-12,1.547435774960252186e-15
9.388284945687708387e+03,2.574726592786215567e-12,1.227034429283607539e-15
9.412506000095676427e+03,2.588809000853880594e-12,1.266152367980990229e-15
9.436727054503640829e+03,2.593933590569435907e-12,1.472958529478286688e-15
9.460948108911607051e+03,2.604799039035147270e-12,1.480662281017474440e-15
9.485169163319573272e+03,2.623384040850335516e-12,1.406151229943883154e-15
9.509390217727539493e+03,2.635732757222405229e-12,1.265418011124323339e-15
9.533611272135505715e+03,2.627269441351536756e-12,1.185112740242589266e-15
9.557832326543471936e+03,2.620033061778219328e-12,1.331393223063640661e-15
9.582053380951439976e+03,2.620437550398045015e-12,1.742563141962084116e-15
9.606274435359404379e+03,2.619098156717625197e-12,1.641405950186604773e-15
9.630495489767372419e+03,2.615666466027731724e-12,1.312869676504745897e-15
9.654716544175336821e+03,2.581997584791211216e-12,1.385897857292417257e-15
9.678937598583303043e+03,2.584738132328262727e-12,9.865888087268620601e-16
9.703158652991269264e+03,2.583809799994965385e-12,1.215538145423601903e-15
9.727379707399237304e+03,2.589048447247897879e-12,1.045596254683189076e-15
9.751600761807203526e+03,2.558718766563075948e-12,2.370182063975992885e-15
9.775821816215167928e+03,2.575081691560076828e-12,1.282229180922791029e-15
9.800042870623135968e+03,2.570174263910042627e-12,1.074184259598574772e-15
9.824263925031100371e+03,2.590862133681960627e-12,1.603279612350456390e-15
9.848484979439068411e+03,2.601560649278072512e-12,1.353438721541237381e-15
9.872706033847032813e+03,2.595564746798642417e-12,1.460426655352413116e-15
