Wavelength,Flux,FluxErr
1.141148363762158806e+04,4.005306777691132897e-14,4.967172990921304109e-17
1.145787980917564164e+04,3.958315413031944956e-14,5.684975498652453903e-17
1.150427598072969522e+04,4.162587068048968103e-14,3.957963852211202285e-17
1.155067215228374880e+04,4.238196621248709165e-14,2.706088738128650998e-17
1.159706832383780056e+04,4.226626002291418532e-14,2.488009829530339154e-17
1.164346449539185414e+04,4.172247974952185044e-14,3.116504821066953703e-17
1.168986066694590772e+04,4.136030642719370939e-14,2.035869939109801897e-17
1.173625683849996130e+04,4.096972849180316989e-14,2.144339147040841743e-17
1.178265301005401489e+04,4.091909607136656993e-14,3.722786300372168249e-17
1.182904918160806847e+04,4.028025644862610973e-14,3.808867965124519500e-17
1.187544535316212205e+04,4.083088122772809512e-14,3.544938953018359010e-17
1.192184152471617563e+04,4.056323438223313372e-14,3.139335847110454033e-17
1.196823769627022921e+04,4.003764509693924195e-14,2.600003582686155239e-17
1.201463386782428279e+04,3.944185899164920060e-14,2.348009022224400233e-17
1.206103003937833637e+04,3.967269124072237367e-14,2.317197916676382322e-17
1.210742621093238995e+04,4.014797510379998690e-14,2.853248135132174615e-17
1.215382238248644353e+04,3.995175024885961790e-14,1.758918920893344339e-17
1.220021855404049711e+04,4.029232660405761210e-14,2.236817919744850454e-17
1.224661472559454887e+04,3.990044582422487800e-14,4.364308836544011147e-17
1.229301089714860245e+04,3.999928686524908575e-14,3.269937424423064049e-17
1.233940706870265603e+04,3.971095475696350443e-14,2.663661819112910525e-17
1.238580324025670961e+04,3.932200200374261095e-14,2.476864214991168786e-17
1.243219941181076319e+04,3.857419742373016193e-14,2.054689774400529690e-17
1.247859558336481678e+04,3.790994350568378091e-14,1.888327613963535176e-17
1.252499175491887036e+04,3.845370595041232790e-14,2.041958033837987548e-17
1.257138792647292394e+04,3.830078280954532681e-14,2.908721490739805652e-17
1.261778409802697570e+04,3.862866923555360281e-14,1.777104386812812134e-17
1.266418026958102928e+04,3.873193477999527765e-14,2.923923631669452605e-17
1.271057644113508286e+04,3.826276925497993775e-14,2.096016192518738425e-17
1.275697261268913644e+04,3.814036512580736624e-14,3.319241757266683345e-17
1.280336878424319002e+04,3.812455021037618467e-14,1.866463142966671869e-17
1.284976495579724360e+04,3.793317333984091717e-14,1.145873467546746652e-17
1.289616112735129718e+04,3.823821598070407323e-14,2.117289299880749920e-17
1.294255729890535076e+04,3.802488958148989178e-14,3.023454490639145541e-17
1.298895347045940434e+04,3.838487222128342588e-14,1.665981814430574781e-17
1.303534964201345792e+04,3.798975577512058037e-14,1.452503029134843902e-17
1.308174581356751150e+04,3.773695673842616013e-14,1.279763307763894732e-17
1.312814198512156509e+04,3.730100513137171230e-14,1.999838297950912888e-17
1.317453815667561867e+04,3.689552312313886243e-14,2.611279023138032728e-17
1.322093432822967225e+04,3.703953932714370356e-14,2.160283410631909125e-17
1.326733049978372583e+04,3.636644818167160833e-14,2.039023442771250335e-17
1.331372667133777941e+04,3.560610522506957036e-14,2.684857908314100290e-17
1.336012284289183117e+04,3.500152952287051169e-14,2.308655844912278062e-17
