Wavelength,Flux,FluxErr
1.141089143050324856e+04,3.994614530644711340e-14,4.515036866604778848e-17
1.145726765599157625e+04,3.810209547444631001e-14,5.472089215156729142e-17
1.150364388147990576e+04,4.058540291342107816e-14,7.873954705969545526e-17
1.155002010696823345e+04,4.173016626583848667e-14,4.956106310017390422e-17
1.159639633245656478e+04,4.153893732646653360e-14,5.904139416585596601e-17
1.164277255794489429e+04,4.099527243435069057e-14,6.514012872267325272e-17
1.168914878343322380e+04,4.060503541434165619e-14,5.853509631708334448e-17
1.173552500892155149e+04,4.026245672768136236e-14,2.587064986308078876e-17
1.178190123440988100e+04,4.037644775406366667e-14,3.866685904590984838e-17
1.182827745989820869e+04,3.962334946149080091e-14,2.219339700482902207e-17
1.187465368538653820e+04,3.957047970495134629e-14,4.652181278741404681e-17
1.192102991087486771e+04,3.968102223624964169e-14,3.648206418413338572e-17
1.196740613636319722e+04,3.962028701553925159e-14,3.552139844982137551e-17
1.201378236185152491e+04,3.919595691958175400e-14,2.467032814923741074e-17
1.206015858733985624e+04,3.882672774211556967e-14,2.768454354584139481e-17
1.210653481282818393e+04,3.941238322855986292e-14,2.073920737159736311e-17
1.215291103831651344e+04,3.912029022432886126e-14,4.312523550995110699e-17
1.219928726380484295e+04,3.939090189824150443e-14,3.809620512957199816e-17
1.224566348929317246e+04,3.943514561158688074e-14,3.616533041422970930e-17
1.229203971478150015e+04,3.935791497197006069e-14,3.370716814747798289e-17
1.233841594026982966e+04,3.900248228794099479e-14,2.692824721441754465e-17
1.238479216575815917e+04,3.841949768662202427e-14,4.423144218361729322e-17
1.243116839124648686e+04,3.846229729433774646e-14,2.531043045385087466e-17
1.247754461673481637e+04,3.779176750029785141e-14,2.564220838873082447e-17
1.252392084222314770e+04,3.780443832470796895e-14,2.578071558413018323e-17
1.257029706771147539e+04,3.776272143438254412e-14,3.486248219899168587e-17
1.261667329319980490e+04,3.800511820091500499e-14,3.273950943116552097e-17
1.266304951868813441e+04,3.798838359005594598e-14,2.980385032131825877e-17
1.270942574417646210e+04,3.778017125724054730e-14,2.582802219554686257e-17
1.275580196966479161e+04,3.744534035946407976e-14,3.773596621616791593e-17
1.280217819515312112e+04,3.758913478705179350e-14,2.499186495297644866e-17
1.284855442064145063e+04,3.730107424375311474e-14,2.852845308151444277e-17
1.289493064612977832e+04,3.763810145807315567e-14,3.320753955946860894e-17
1.294130687161810783e+04,3.755095891539785420e-14,3.396494125770225193e-17
1.298768309710643734e+04,3.743352432323903854e-14,2.652784972447885819e-17
1.303405932259476685e+04,3.743598011169154708e-14,3.481076098074825506e-17
1.308043554808309636e+04,3.744063653053886137e-14,2.963420721059410106e-17
1.312681177357142587e+04,3.703965806624535578e-14,2.594400124781456541e-17
1.317318799905975357e+04,3.583010134077430912e-14,3.275539948983937917e-17
1.321956422454808308e+04,3.571320478943255550e-14,2.939280602218038652e-17
1.326594045003641077e+04,3.622952583728545784e-14,2.103376910345830445e-17
1.331231667552474028e+04,3.595101724614821217e-14,2.804290034622577315e-17
1.335869290101306979e+04,3.519321141365141027e-14,3.321731925459286517e-17
1.340506912650139930e+04,3.392006885187524306e-14,2.007649188101512078e-17
1.345144535198972881e+04,3.348805635710245784e-14,3.640729904548335410e-17
1.349782157747805832e+04,3.311662797180273162e-14,3.281615688946862534e-17
1.354419780296638601e+04,3.283953432217391506e-14,3.330587422211158526e-17
1.359057402845471552e+04,3.275333197003731994e-14,2.498406573584666321e-17
1.363695025394304503e+04,3.232218382473331321e-14,2.494032161137132174e-17
1.368332647943137454e+04,3.253216126891329543e-14,3.916145673730988880e-17
1.372970270491970405e+04,3.261236306337847030e-14,2.054400170212325027e-17
1.377607893040803174e+04,3.233035386508694958e-14,2.026233502105895645e-17
1.382245515589635943e+04,3.180141911801530575e-14,1.282235150322605922e-17
1.386883138138468894e+04,3.131556860962226225e-14,2.889169717944371087e-17
1.391520760687301845e+04,3.148300493299990757e-14,3.139134664814852166e-17
1.396158383236134978e+04,3.085043122389033109e-14,1.042958762702905235e-17
1.400796005784967929e+04,3.048814664769519656e-14,2.352017705660799864e-17
1.405433628333800698e+04,3.009799665881394782e-14,1.671631249187919645e-17
1.410071250882633649e+04,3.012661119010193310e-14,2.024607755763264612e-17
1.414708873431466418e+04,2.964636455337130591e-14,2.936843298733285920e-17
1.419346495980299369e+04,2.964497996378984553e-14,2.200792887071634832e-17
1.423984118529132320e+04,2.980272960504811409e-14,2.850628678104281730e-17
1.428621741077965271e+04,2.929667619545385544e-14,2.237518754335973976e-17
1.433259363626798040e+04,2.907641404757463880e-14,1.763306246716784293e-17
