Wavelength,Flux,FluxErr
1.141120541212257558e+04,5.604730487153592035e-13,6.613848371691196174e-16
1.145759974460963167e+04,5.489729612796963750e-13,1.142806325021808649e-15
1.150399407709668776e+04,5.601378348267534392e-13,2.841184504484675163e-15
1.155038840958374385e+04,5.698522444191106819e-13,8.484131164303661886e-16
1.159678274207079994e+04,5.654716498066811216e-13,5.130085099603399192e-16
1.164317707455785603e+04,5.609795602025776904e-13,4.556006699136414496e-16
1.168957140704491212e+04,5.466700554997752191e-13,9.207288131371405607e-16
1.173596573953196821e+04,5.477780326497718436e-13,1.457939067473110248e-15
1.178236007201902248e+04,5.461849180514405334e-13,1.523344337757803715e-15
1.182875440450608039e+04,5.427729326489102363e-13,4.761171154125741160e-16
1.187514873699313466e+04,5.354723725313295421e-13,8.927475737629049799e-16
1.192154306948019075e+04,5.347871692077752690e-13,8.715817916294439961e-16
1.196793740196724502e+04,5.354449659624039904e-13,9.296282817677670753e-16
1.201433173445430111e+04,5.337213061736128376e-13,4.253552553294909691e-16
1.206072606694135720e+04,5.275032273880831186e-13,1.012347211848063340e-15
1.210712039942841329e+04,5.309191968517145067e-13,1.003613015532299280e-15
1.215351473191546938e+04,5.298126922162442540e-13,6.177990510839845911e-16
1.219990906440252547e+04,5.276602832162953115e-13,8.376821967147647338e-16
1.224630339688958156e+04,5.306126989217785952e-13,6.361411364249270573e-16
1.229269772937663765e+04,5.265317906756494672e-13,4.761704290136352698e-16
1.233909206186369374e+04,5.268240729718661287e-13,3.930428289950176889e-16
1.238548639435074983e+04,5.183545451893117397e-13,3.727116777719463268e-16
1.243188072683780410e+04,5.212308453505518477e-13,3.645638257384531402e-16
1.247827505932486019e+04,5.126089666025720671e-13,5.544270390780125641e-16
1.252466939181191628e+04,5.105680397123098888e-13,4.951893172777000725e-16
1.257106372429897237e+04,5.096505445657675650e-13,3.409923007729632627e-16
1.261745805678602846e+04,5.088873692302277838e-13,5.191912379720157467e-16
1.266385238927308455e+04,5.072114941150836865e-13,3.082574797070613976e-16
1.271024672176014064e+04,4.970700062159346637e-13,3.577121275962680097e-16
1.275664105424719492e+04,4.905402351644291698e-13,8.294324376956729095e-16
1.280303538673425282e+04,4.912814290558550798e-13,4.654156270587401765e-16
1.284942971922130710e+04,4.921150992698027054e-13,3.403861607544943735e-16
1.289582405170836500e+04,4.921740911407773544e-13,5.283812438617219248e-16
1.294221838419541746e+04,4.926173912994158261e-13,5.922238230238080677e-16
1.298861271668247355e+04,4.916767409136847391e-13,9.409097322761068665e-16
1.303500704916952964e+04,4.934259372042438805e-13,6.608324072345266039e-16
1.308140138165658573e+04,4.926304252345717762e-13,3.152962880394893943e-16
1.312779571414364182e+04,4.907174215050736414e-13,5.744561063927259228e-16
1.317419004663069791e+04,4.746002653489691319e-13,9.097519281647075006e-16
1.322058437911775400e+04,4.741270904872575218e-13,1.383829312257295279e-15
1.326697871160481009e+04,4.770342580996577107e-13,6.693796189384222002e-16
1.331337304409186618e+04,4.768687004494275867e-13,3.646750168887186376e-16
1.335976737657892227e+04,4.678327655776019227e-13,7.581755049025003880e-16
1.340616170906597836e+04,4.541949457794276367e-13,7.025915774019227536e-16
1.345255604155303263e+04,4.559381776333526341e-13,4.160659546715801094e-16
1.349895037404008872e+04,4.489611867064111965e-13,3.184634295108995587e-16
1.354534470652714299e+04,4.427164203691706661e-13,5.098767126819882529e-16
1.359173903901420090e+04,4.403102388640690500e-13,2.495876853590351529e-16
1.363813337150125517e+04,4.430386157600144219e-13,2.995893100779209477e-16
1.368452770398831308e+04,4.425351128925849536e-13,3.327761461627068802e-16
1.373092203647536735e+04,4.442467977018274746e-13,2.753286326123007877e-16
1.377731636896242526e+04,4.452645957928188917e-13,6.690456181272287245e-16
1.382371070144947953e+04,4.371005902749458012e-13,7.462881103458123526e-16
1.387010503393653744e+04,4.336084596275215464e-13,4.405848657607161368e-16
1.391649936642359171e+04,4.282648051983982115e-13,6.556474550575419589e-16
1.396289369891064598e+04,4.209777808201037455e-13,7.206834004656995854e-16
1.400928803139770207e+04,4.202175738754347441e-13,5.036422062480800433e-16
1.405568236388475816e+04,4.165362427808314047e-13,4.939586626558531665e-16
1.410207669637181425e+04,4.131249811905209565e-13,3.604446938893783494e-16
1.414847102885887034e+04,4.161111567106207466e-13,2.749240734126947073e-16
1.419486536134592643e+04,4.047987009217411381e-13,3.377329473763718678e-16
1.424125969383298252e+04,4.082577312554808007e-13,3.985753960957532390e-16
1.428765402632003861e+04,4.068113784924521146e-13,3.244146739879901908e-16
1.433404835880709470e+04,4.038254097137261012e-13,3.286343522296122871e-16
1.438044269129415079e+04,4.035227573637764875e-13,3.005476060371408334e-16
1.442683702378120506e+04,4.018821538024509061e-13,2.745975937207298135e-16
1.447323135626826115e+04,4.011063974807250002e-13,2.688694178682458665e-16
1.451962568875531542e+04,4.026370407972556643e-13,3.032663950647488686e-16
1.456602002124237333e+04,3.998925236398767931e-13,4.027670637048048485e-16
1.461241435372942760e+04,3.960495952842689097e-13,5.519290422299252373e-16
1.465880868621648551e+04,3.922358776327232255e-13,9.233440531667497648e-16
1.470520301870353978e+04,3.890029508248573427e-13,3.587972524833917014e-16
1.475159735119059769e+04,3.906145735049517254e-13,2.227067336015706146e-16
1.479799168367765196e+04,3.894753229040615515e-13,4.578029105273659719e-16
1.484438601616470987e+04,3.869646294152734628e-13,3.371584317480219671e-16
1.489078034865176414e+04,3.821763905350182890e-13,3.536396748578450688e-16
1.493717468113882023e+04,3.827467096536554880e-13,5.323726405815678120e-16
1.498356901362587450e+04,3.841376417921676146e-13,2.758937508703424444e-16
1.502996334611293059e+04,3.810741953476330216e-13,6.522136960235385709e-16
1.507635767859998668e+04,3.729020340686781357e-13,4.883121190710547073e-16
1.512275201108704277e+04,3.783799406276844145e-13,1.023928795600631273e-15
1.516914634357409886e+04,3.780978741512728164e-13,3.520583610993099111e-16
1.521554067606115495e+04,3.807747887364427500e-13,3.144470378063713422e-16
1.526193500854821104e+04,3.809295545794765622e-13,3.172646975451411793e-16
1.530832934103526532e+04,3.757160724581869118e-13,5.178431567232575493e-16
1.535472367352232322e+04,3.761647941094056092e-13,3.042928287349171213e-16
1.540111800600937750e+04,3.739871378638650267e-13,6.572827073108603515e-16
1.544751233849643540e+04,3.703382676226481199e-13,3.785777662553401825e-16
1.549390667098348786e+04,3.717395883808311346e-13,3.076821533994677921e-16
1.554030100347054577e+04,3.706587017127983897e-13,5.191289264454127903e-16
1.558669533595760004e+04,3.677360636381105095e-13,4.818493274742772704e-16
1.563308966844465795e+04,3.676695268329404679e-13,3.160822910305083103e-16
1.567948400093171222e+04,3.720678973001441237e-13,2.342761793602437949e-16
1.572587833341877013e+04,3.652237443615215639e-13,4.188777812016362886e-16
1.577227266590582440e+04,3.617473770561850061e-13,5.290758978820391829e-16
1.581866699839288049e+04,3.637089996801799366e-13,6.639319077181979152e-16
1.586506133087993658e+04,3.677304496891528530e-13,3.302424177708068538e-16
1.591145566336699267e+04,3.651472305734655986e-13,4.004943712498501928e-16
1.595784999585404694e+04,3.676181036818770000e-13,3.039208670447451746e-16
