Wavelength,Flux,FluxErr
1.143453072869925927e+04,5.362898007152640607e-13,2.991785902783517591e-16
1.148078169441766295e+04,5.308863992921958423e-13,7.313792302238407658e-16
1.152703266013606481e+04,5.363290070910924633e-13,3.589551265937297303e-16
1.157328362585446484e+04,5.472018605938727397e-13,2.825795022758556651e-16
1.161953459157286670e+04,5.407002299338789459e-13,3.396246303098324561e-16
1.166578555729127038e+04,5.333667675300574637e-13,3.089355780480883340e-16
1.171203652300967224e+04,5.277756126923482605e-13,3.675332069204691961e-16
1.175828748872807409e+04,5.230199934169947996e-13,4.909340546852151449e-16
1.180453845444647413e+04,5.260592217815989064e-13,3.261152393024678205e-16
1.185078942016487781e+04,5.198599882501223176e-13,2.942066599700804899e-16
1.189704038588327967e+04,5.162141687014757010e-13,2.434199445620934797e-16
1.194329135160167971e+04,5.156410833950617182e-13,3.273611567091913944e-16
1.198954231732008157e+04,5.145592533514374147e-13,2.891815334240312032e-16
1.203579328303848342e+04,5.074091234509802618e-13,2.983659513013024784e-16
1.208204424875688710e+04,5.102860540808634235e-13,2.961547328770780529e-16
1.212829521447528896e+04,5.082829840777141325e-13,2.918674232899617786e-16
1.217454618019369082e+04,5.083630373488968650e-13,3.227993707592928744e-16
1.222079714591209085e+04,5.079590595730267061e-13,2.849076169124410288e-16
1.226704811163049453e+04,5.070966303442903459e-13,2.403628867583171654e-16
1.231329907734889639e+04,5.036701552992684750e-13,1.900531828776056970e-16
1.235955004306729643e+04,4.983777727640367679e-13,3.757913122803734808e-16
1.240580100878569829e+04,4.986990696598896398e-13,2.891712795679875625e-16
1.245205197450410196e+04,4.963419209889509084e-13,2.659074435162070020e-16
1.249830294022250382e+04,4.904685081513527670e-13,1.952179555138376096e-16
1.254455390594090568e+04,4.921988573182573221e-13,2.074655474024354185e-16
1.259080487165930572e+04,4.904815507398036346e-13,2.023283216169263563e-16
1.263705583737770939e+04,4.874846519656763004e-13,2.402646723307293135e-16
1.268330680309611125e+04,4.883321145347265861e-13,2.236798113494650088e-16
1.272955776881451129e+04,4.814124373154035785e-13,2.830706769527917029e-16
1.277580873453291315e+04,4.781158721323338755e-13,2.392113851407910557e-16
1.282205970025131683e+04,4.743149147167076597e-13,2.112490064919887650e-16
1.286831066596971868e+04,4.748767808083499259e-13,2.119816230787759545e-16
1.291456163168812054e+04,4.728999263040715327e-13,2.990297008809206321e-16
1.296081259740652240e+04,4.723261231729598263e-13,3.006028734830238503e-16
1.300706356312492244e+04,4.713031810895599190e-13,2.806691289194506674e-16
1.305331452884332612e+04,4.711553618370940366e-13,3.580784454506263660e-16
1.309956549456172615e+04,4.701200529104986482e-13,2.381474836960622705e-16
1.314581646028012801e+04,4.595498561495223079e-13,2.761516889678503014e-16
1.319206742599852987e+04,4.392923101593323736e-13,4.084795263467110631e-16
1.323831839171693355e+04,4.542124601098355667e-13,3.032822300166469989e-16
1.328456935743533541e+04,4.524428949400798965e-13,1.890906409661592082e-16
1.333082032315373726e+04,4.525576618455051603e-13,2.216835929278922846e-16
1.337707128887213912e+04,4.447310057414587495e-13,2.396440574003522680e-16
1.342332225459054098e+04,4.412022420850487132e-13,2.335206521130878622e-16
1.346957322030894284e+04,4.363835562801317982e-13,2.338153062615914019e-16
1.351582418602734288e+04,4.334849024814706893e-13,1.597227254412819987e-16
1.356207515174574473e+04,4.332285817735933640e-13,1.707359968221912307e-16
1.360832611746414841e+04,4.279358126471779665e-13,2.306725421214605044e-16
1.365457708318255027e+04,4.278381615351766871e-13,1.811355926191503407e-16
1.370082804890095213e+04,4.281988690857792742e-13,1.852442639083579350e-16
1.374707901461935398e+04,4.276849862932970201e-13,1.880795892406073057e-16
1.379332998033775584e+04,4.213058148512148521e-13,3.401047381693545222e-16
1.383958094605615770e+04,4.135160179297080621e-13,2.739363731461472235e-16
1.388583191177455956e+04,4.153302010439968717e-13,2.866916574110618274e-16
1.393208287749295960e+04,4.086055456738107810e-13,3.212776812230622141e-16
1.397833384321136145e+04,3.997882816679563026e-13,2.432570877222009799e-16
1.402458480892976513e+04,3.989137001311462235e-13,2.260228395606437256e-16
1.407083577464816699e+04,4.011746290761002271e-13,1.593022122528221609e-16
1.411708674036656885e+04,3.977141683354207140e-13,2.524994711541951184e-16
1.416333770608497070e+04,3.960970165195950674e-13,1.955213041158820763e-16
1.420958867180337256e+04,3.974588740932251766e-13,2.133925978720667421e-16
1.425583963752177442e+04,3.954682014390737393e-13,1.824416642088456132e-16
1.430209060324017446e+04,3.895960392095484301e-13,1.750508308736347114e-16
1.434834156895857632e+04,3.884440908003045300e-13,1.763389107974833974e-16
1.439459253467697999e+04,3.854864618523226128e-13,1.837440848668970604e-16
1.444084350039538185e+04,3.849930954066989060e-13,2.017605858712322985e-16
1.448709446611378371e+04,3.874822054107961296e-13,2.123862341281478444e-16
1.453334543183218557e+04,3.849658356757462519e-13,1.657544879006382574e-16
1.457959639755058743e+04,3.862191323190814619e-13,1.713517679922804052e-16
1.462584736326898928e+04,3.766680668705902593e-13,2.494805325441506377e-16
1.467209832898739114e+04,3.751335230520764985e-13,2.344800226552601145e-16
1.471834929470579118e+04,3.751518379500145991e-13,1.797541014448875080e-16
1.476460026042419486e+04,3.750512424988181502e-13,1.991745061156820512e-16
1.481085122614259672e+04,3.737425100555238885e-13,1.857966504611037126e-16
1.485710219186099857e+04,3.708304027960257938e-13,1.730970683820233842e-16
1.490335315757940043e+04,3.671689016145079325e-13,1.956051090454009522e-16
1.494960412329780229e+04,3.671013794042577473e-13,2.667056463894696653e-16
1.499585508901620415e+04,3.671797786322046240e-13,1.991755919637218983e-16
1.504210605473460600e+04,3.624450982259655556e-13,2.486816781907841202e-16
1.508835702045300604e+04,3.598728815296216888e-13,1.977885722884228864e-16
1.513460798617140790e+04,3.624672490600354993e-13,2.136677702008869904e-16
1.518085895188981158e+04,3.658976144522077096e-13,1.989364311193871274e-16
1.522710991760821344e+04,3.654612872723473906e-13,1.639428823146109142e-16
1.527336088332661529e+04,3.648602111586136909e-13,1.668806156253217809e-16
1.531961184904501715e+04,3.597012860866526776e-13,2.264528310493198941e-16
1.536586281476342083e+04,3.611619025133855489e-13,1.436671736187527409e-16
1.541211378048182087e+04,3.589540387737991830e-13,2.349683867490260078e-16
1.545836474620022273e+04,3.576727582801391743e-13,2.196992966402433800e-16
1.550461571191862276e+04,3.583289205444068113e-13,1.947043519623531504e-16
1.555086667763702644e+04,3.566468754650606035e-13,3.291585304740930057e-16
1.559711764335542830e+04,3.519740508071644766e-13,2.044200162617906096e-16
1.564336860907383016e+04,3.570312968760951518e-13,1.900537935223231654e-16
1.568961957479223202e+04,3.557389304446825180e-13,1.982915141636907995e-16
1.573587054051063387e+04,3.528783343203236388e-13,2.029480665616478354e-16
1.578212150622903573e+04,3.487221615419782247e-13,1.641593285598359198e-16
1.582837247194743759e+04,3.501407484713290701e-13,1.698412719579684285e-16
1.587462343766583763e+04,3.502873891112410745e-13,1.464114817493122968e-16
1.592087440338423949e+04,3.506546543014952244e-13,1.915487412211845691e-16
1.596712536910264316e+04,3.470905431552777880e-13,1.741152549014730712e-16
1.601337633482104502e+04,3.502581827229418710e-13,1.817709352211162796e-16
1.605962730053944688e+04,3.480681975947961904e-13,2.542530927610509109e-16
1.610587826625784874e+04,3.485728635860759108e-13,2.548529682904220095e-16
1.615212923197625241e+04,3.394772853719718843e-13,2.754705220699355880e-16
1.619838019769465245e+04,3.383716831287443790e-13,2.410481873419034720e-16
