Wavelength,Flux,FluxErr
1.144034326684447842e+04,5.333922117289107320e-13,2.369866380902590047e-16
1.148659402027884789e+04,5.208780099433008082e-13,4.632913853695402419e-16
1.153284477371321736e+04,5.457619381167224151e-13,3.083249318061831749e-16
1.157909552714758502e+04,5.447209420040301022e-13,2.192755349730344670e-16
1.162534628058195449e+04,5.412447077173313816e-13,3.850513274709625456e-16
1.167159703401632396e+04,5.299882902193109945e-13,2.588959394269918183e-16
1.171784778745069161e+04,5.231064670080292820e-13,3.119941521538287631e-16
1.176409854088506108e+04,5.265228929751025300e-13,3.488217746082398337e-16
1.181034929431943056e+04,5.263375462995755777e-13,3.708968773874262870e-16
1.185660004775379821e+04,5.176767774150976136e-13,2.470452264699565703e-16
1.190285080118816768e+04,5.157684673715475916e-13,2.497215200262557715e-16
1.194910155462253715e+04,5.147798979184274500e-13,2.223585275211215013e-16
1.199535230805690480e+04,5.126548115782127182e-13,2.833575009898714300e-16
1.204160306149127427e+04,5.073884643767102847e-13,2.758853301006723432e-16
1.208785381492564375e+04,5.060194993243165400e-13,2.932770651087539330e-16
1.213410456836001322e+04,5.088673063039359641e-13,2.376652485186855629e-16
1.218035532179438087e+04,5.071402195638993988e-13,2.359961489214951976e-16
1.222660607522875216e+04,5.078772809382455009e-13,2.308312676657164190e-16
1.227285682866311981e+04,5.053029785273066219e-13,3.108399544971380980e-16
1.231910758209748747e+04,4.997289874242641563e-13,2.881444937304991254e-16
1.236535833553185876e+04,5.017866019934676954e-13,2.588312546755455310e-16
1.241160908896622641e+04,4.998050250849088213e-13,2.246197626560640830e-16
1.245785984240059406e+04,4.935556024535200380e-13,2.596810749428418159e-16
1.250411059583496535e+04,4.927604535777015217e-13,2.746711972472308375e-16
1.255036134926933300e+04,4.933242042585517367e-13,2.209903898621038316e-16
1.259661210270370066e+04,4.872218610831727782e-13,2.501624652124394098e-16
1.264286285613807195e+04,4.898562845458142814e-13,2.182921217368570505e-16
1.268911360957243960e+04,4.868232088858317950e-13,2.150928485723283000e-16
1.273536436300680725e+04,4.811683688063899746e-13,2.743743744432121720e-16
1.278161511644117672e+04,4.760060729045072158e-13,2.204328199705226341e-16
