Wavelength,Flux,FluxErr
8.211747690093841811e+03,4.856168569326401986e-13,3.902438481098857742e-16
8.236154178680126279e+03,4.905395817313607621e-13,7.356636948699863868e-16
8.260560667266410746e+03,4.972866139482354883e-13,5.654578876405124052e-16
8.284967155852695214e+03,4.947500091874104343e-13,5.344420546374787617e-16
8.309373644438981501e+03,4.932936699615220353e-13,3.989071014148271976e-16
8.333780133025264149e+03,4.828917780793958039e-13,2.082229019082419126e-16
8.358186621611548617e+03,4.784095796990642595e-13,4.633579344378252540e-16
8.382593110197833084e+03,4.797824660906496845e-13,2.622461516643329935e-16
8.406999598784117552e+03,4.805616589304715765e-13,3.875386102410301742e-16
8.431406087370403839e+03,4.806795434084133495e-13,4.645548773150273375e-16
8.455812575956688306e+03,4.761574686557552451e-13,3.576877411453872944e-16
8.480219064542970955e+03,4.763588594605972897e-13,4.036493496014651340e-16
8.504625553129255422e+03,4.684294774465934105e-13,2.586883285480257968e-16
8.529032041715541709e+03,4.573779356778765470e-13,2.437351358649538176e-16
8.553438530301824358e+03,4.398033354787004779e-13,3.136327797854183190e-16
8.577845018888110644e+03,4.393371801621153355e-13,5.792269245513776712e-16
8.602251507474395112e+03,4.725070150637632726e-13,3.312612831443897558e-16
8.626657996060677760e+03,4.678729227704991224e-13,1.854355115641205977e-16
8.651064484646964047e+03,4.637451905870966785e-13,2.542157610024602217e-16
8.675470973233246696e+03,4.416373291346239671e-13,1.289173137841047228e-16
8.699877461819532982e+03,4.457131617471873715e-13,5.037395174127930689e-16
8.724283950405817450e+03,4.615289836565258568e-13,4.681612873899770407e-16
8.748690438992101917e+03,4.653610603002124747e-13,3.251749667889264593e-16
8.773096927578386385e+03,4.663881895715622259e-13,2.694299495069826724e-16
8.797503416164670853e+03,4.575671060544713293e-13,2.028060527431676133e-16
8.821909904750955320e+03,4.500184481105283356e-13,1.933673219029504892e-16
8.846316393337239788e+03,4.542307696023968618e-13,3.371766696096445034e-16
8.870722881923524255e+03,4.593974401953227657e-13,2.885545365133384809e-16
8.895129370509810542e+03,4.573830646325129850e-13,2.320379417969871741e-16
8.919535859096093191e+03,4.542299432330274572e-13,2.554356471929133214e-16
8.943942347682377658e+03,4.580460742298498235e-13,1.811195477954518088e-16
8.968348836268662126e+03,4.559444129881453072e-13,2.626143533542564357e-16
8.992755324854946593e+03,4.511312824117045891e-13,2.289185260447023015e-16
9.017161813441232880e+03,4.413202557750720886e-13,1.641866462881220967e-16
9.041568302027517348e+03,4.489242736737033452e-13,3.057511033572263396e-16
