Wavelength,Flux,FluxErr
8.206311373595703117e+03,4.900020845114988606e-13,4.892226220584478395e-16
8.230707234372137464e+03,4.864911676011131237e-13,6.745166627747309399e-16
8.255103095148571811e+03,4.948710200762968434e-13,5.855921416295287960e-16
8.279498955925006157e+03,4.983771569973434634e-13,3.436803987589647856e-16
8.303894816701440504e+03,4.927115446715843270e-13,3.807162685432896327e-16
8.328290677477874851e+03,4.863033179905694935e-13,3.680646758084471930e-16
8.352686538254307379e+03,4.789407397793017300e-13,4.001999382976821808e-16
8.377082399030741726e+03,4.812034961927184778e-13,3.283070276260960600e-16
8.401478259807177892e+03,4.790120904495579313e-13,2.374442785896722917e-16
8.425874120583612239e+03,4.836740955628010862e-13,2.646122217072090575e-16
8.450269981360046586e+03,4.777132800172298392e-13,3.936297438635388226e-16
8.474665842136480933e+03,4.772433225396992911e-13,3.686502271166453452e-16
8.499061702912915280e+03,4.710296837823546592e-13,3.478871749777368510e-16
8.523457563689349627e+03,4.592034915506748799e-13,3.810063473253486307e-16
8.547853424465783974e+03,4.502431159397663955e-13,3.590038499255062998e-16
8.572249285242218320e+03,4.439607184080028416e-13,5.853926842554635544e-16
8.596645146018652667e+03,4.572396534659401601e-13,3.417998234927876466e-16
8.621041006795087014e+03,4.720415523514666384e-13,3.640451175264195538e-16
8.645436867571521361e+03,4.643704052501933990e-13,2.380480149259308965e-16
8.669832728347955708e+03,4.491165861328959307e-13,2.472349583336220769e-16
8.694228589124390055e+03,4.388317914512382536e-13,5.113238714864595645e-16
8.718624449900824402e+03,4.575961743566181746e-13,6.415839606897131604e-16
8.743020310677256930e+03,4.652870916399585545e-13,3.552474820246227192e-16
8.767416171453691277e+03,4.653028500674865842e-13,3.483292341822275119e-16
8.791812032230125624e+03,4.637973075389721254e-13,2.823953671119095332e-16
8.816207893006559971e+03,4.519408440039994015e-13,2.474382172403591130e-16
8.840603753782994318e+03,4.519650359004572162e-13,2.576997444551417828e-16
8.864999614559430483e+03,4.600180637618007995e-13,2.589845410660375289e-16
8.889395475335864830e+03,4.601992245732621011e-13,3.080759033340973617e-16
8.913791336112299177e+03,4.593668273072050169e-13,2.681174553543476125e-16
8.938187196888733524e+03,4.521118564312136338e-13,2.223744497289802686e-16
8.962583057665167871e+03,4.573531414613609446e-13,2.720645280938883124e-16
8.986978918441602218e+03,4.559772255941409082e-13,2.608751464710947827e-16
9.011374779218036565e+03,4.474041810666907707e-13,2.118387203087882029e-16
9.035770639994470912e+03,4.395395171211499439e-13,2.382705390530347301e-16
9.060166500770905259e+03,4.527199132398476908e-13,2.588882775279031114e-16
9.084562361547339606e+03,4.475330982290675339e-13,2.953783847800623496e-16
9.108958222323773953e+03,4.383353833235391281e-13,3.030132709895001036e-16
9.133354083100206481e+03,4.409575507390188512e-13,1.674978388195809385e-16
9.157749943876640828e+03,4.400472167769087153e-13,3.311228178895793821e-16
9.182145804653075174e+03,4.318951853302226121e-13,2.141461966759472290e-16
9.206541665429509521e+03,4.279350261096754619e-13,2.533661704395870819e-16
9.230937526205943868e+03,4.206490755705046116e-13,1.940316405286540953e-16
9.255333386982378215e+03,4.167594936738534847e-13,3.679824645686901677e-16
9.279729247758812562e+03,4.201242674368454477e-13,2.887611135169645515e-16
9.304125108535246909e+03,4.222852001793166583e-13,2.111862514707682913e-16
9.328520969311681256e+03,4.275733813873860945e-13,1.926609032203528903e-16
9.352916830088115603e+03,4.189457860662704108e-13,1.902613190585935790e-16
9.377312690864549950e+03,4.186966564043699176e-13,1.446700138332080272e-16
9.401708551640984297e+03,4.149986126393061266e-13,2.521478429215914355e-16
9.426104412417418644e+03,4.078001141171696050e-13,2.003812655732250452e-16
