Wavelength,Flux,FluxErr
1.142070990321279351e+04,1.595141340481396567e-14,6.196887879303605170e-17
1.146684095210003579e+04,1.573652298905569624e-14,5.777579298405204506e-17
1.151297200098727990e+04,1.592208153291055821e-14,5.756704854047228745e-17
1.155910304987452218e+04,1.571343509767541002e-14,6.613395255879590369e-17
1.160523409876176447e+04,1.572855265477798207e-14,6.533449862154416770e-17
1.165136514764900676e+04,1.534165835489059722e-14,6.602390114807372162e-17
1.169749619653624904e+04,1.480411089066127735e-14,4.865029705146274381e-17
1.174362724542349315e+04,1.537186390688258792e-14,6.330905300538569656e-17
1.178975829431073544e+04,1.522329479273475242e-14,6.171935932409802241e-17
1.183588934319797772e+04,1.502719023121709828e-14,7.944119547369142156e-17
1.188202039208522183e+04,1.470029201572881767e-14,5.956963521397580024e-17
1.192815144097246412e+04,1.462969058295040485e-14,5.370252291963310219e-17
1.197428248985970640e+04,1.484452444916165312e-14,5.838331992329742011e-17
1.202041353874695051e+04,1.465713498810703111e-14,6.019591387846732282e-17
1.206654458763419279e+04,1.459374710064667491e-14,5.077654261969217903e-17
1.211267563652143508e+04,1.449968513802392673e-14,5.071519161886179859e-17
1.215880668540867919e+04,1.451402029669142415e-14,5.421939605587719518e-17
1.220493773429592147e+04,1.454425992998560981e-14,5.194500653441693787e-17
1.225106878318316376e+04,1.442730578265945256e-14,5.472368636101018949e-17
1.229719983207040605e+04,1.419745285973309509e-14,4.920977716787856346e-17
1.234333088095764833e+04,1.427168292843153022e-14,5.059542435487640163e-17
1.238946192984489244e+04,1.410142202939261251e-14,5.334455039503997878e-17
1.243559297873213472e+04,1.413733815934190839e-14,5.627176595302143275e-17
1.248172402761937701e+04,1.401398673957399160e-14,4.732095605737875885e-17
1.252785507650662112e+04,1.388684045941760822e-14,5.022622647850333568e-17
1.257398612539386340e+04,1.392917354415331721e-14,5.186736883743883238e-17
1.262011717428110569e+04,1.391718782722802841e-14,5.427947498579612782e-17
1.266624822316834980e+04,1.377391799416760812e-14,5.994002364173775430e-17
1.271237927205559208e+04,1.367899565119581769e-14,5.113354521320449496e-17
1.275851032094283437e+04,1.359715392124104678e-14,5.565649058338538531e-17
1.280464136983007847e+04,1.338834404118858481e-14,5.208495438459284012e-17
1.285077241871732076e+04,1.321245623824261119e-14,5.020393874209814729e-17
1.289690346760456305e+04,1.339416801170422911e-14,3.817669145346413524e-17
1.294303451649180533e+04,1.336352824487631209e-14,5.572171506323254665e-17
1.298916556537904762e+04,1.327624262619588007e-14,5.678406246693439317e-17
1.303529661426629173e+04,1.321712307187836294e-14,5.169448559283482648e-17
1.308142766315353401e+04,1.315906728460226655e-14,5.625510502059530426e-17
1.312755871204077630e+04,1.291719059280748759e-14,5.348630137179094861e-17
1.317368976092802041e+04,1.261622927993693810e-14,5.326748504962894425e-17
1.321982080981526269e+04,1.267594655165564731e-14,4.180354137797748372e-17
1.326595185870250498e+04,1.278363806960504727e-14,4.483405231663347052e-17
1.331208290758974908e+04,1.246786300094421214e-14,5.170226228015012343e-17
1.335821395647699137e+04,1.202678639176516758e-14,4.779178352958224365e-17
1.340434500536423366e+04,1.259365630533722885e-14,5.043968969913833004e-17
1.345047605425147776e+04,1.253389451924759926e-14,4.344324188685401430e-17
1.349660710313871823e+04,1.246172457458301369e-14,4.571936968081002466e-17
1.354273815202596234e+04,1.230607721600675246e-14,4.656274113389014392e-17
1.358886920091320644e+04,1.239683769405398392e-14,4.737742734007618231e-17
1.363500024980044691e+04,1.238643305286897178e-14,5.415061137757879192e-17
1.368113129868769101e+04,1.224658493003352915e-14,4.195987137280777668e-17
1.372726234757493330e+04,1.230447755042279036e-14,4.559393274035743684e-17
1.377339339646217559e+04,1.225462481557375693e-14,5.397661033077392385e-17
1.381952444534941969e+04,1.210177867447011526e-14,4.976053874487008868e-17
1.386565549423666198e+04,1.197031147414892319e-14,5.366857842642652106e-17
1.391178654312390427e+04,1.186129770844235085e-14,4.537293626691240697e-17
1.395791759201114837e+04,1.176961921111485519e-14,4.156167594474758966e-17
1.400404864089839066e+04,1.167939280860148938e-14,4.367850521833934955e-17
1.405017968978563295e+04,1.177496512149761201e-14,5.098822843594576747e-17
1.409631073867287705e+04,1.169016933939972548e-14,4.660290276596477759e-17
1.414244178756011752e+04,1.152150137526518793e-14,4.831936548317086310e-17
1.418857283644736162e+04,1.102378026312693831e-14,4.724895900948439942e-17
1.423470388533460573e+04,1.151577178086163514e-14,4.880859207183621481e-17
1.428083493422184620e+04,1.151964528033569365e-14,5.034370370523084995e-17
1.432696598310909030e+04,1.130121433043682432e-14,4.397844457062461601e-17
1.437309703199633259e+04,1.133478892938523589e-14,3.880942933588101656e-17
1.441922808088357488e+04,1.136891115868372579e-14,4.814050094995192319e-17
1.446535912977081898e+04,1.131022366970893432e-14,4.232825236266896995e-17
1.451149017865806127e+04,1.127347555267417490e-14,4.266200185033579810e-17
1.455762122754530355e+04,1.115884507282020572e-14,4.338280299922012478e-17
1.460375227643254766e+04,1.099695288696663893e-14,4.791204149303967020e-17
1.464988332531978995e+04,1.109637047610237080e-14,4.874501307983119409e-17
1.469601437420703223e+04,1.101635046173013520e-14,4.281671213101665833e-17
1.474214542309427634e+04,1.104134710766083806e-14,4.765860253308687202e-17
1.478827647198151681e+04,1.087250484428841254e-14,4.754837981791134731e-17
