Wavelength,Flux,FluxErr
1.144340700232570452e+04,1.086583636426214431e-12,7.193157660784966048e-16
1.148982470090265269e+04,1.100257331520082824e-12,5.645929515214846375e-16
1.153624239947960268e+04,1.098084816144770283e-12,6.534614726224853514e-16
1.158266009805655267e+04,1.089856047544921585e-12,8.324292559030388927e-16
1.162907779663350266e+04,1.073041740751743957e-12,7.084374231674424924e-16
1.167549549521045265e+04,1.053202119785338520e-12,8.125477058729131264e-16
1.172191319378740263e+04,1.050696454195800276e-12,8.535197998039543088e-16
1.176833089236435262e+04,1.046661688481020323e-12,7.352277612265117913e-16
1.181474859094130261e+04,1.038952500748801776e-12,4.037338631469440886e-16
1.186116628951825260e+04,1.028940563456706855e-12,7.014477324446190092e-16
1.190758398809520077e+04,1.012164898866669667e-12,6.709893030425531002e-16
1.195400168667215257e+04,1.016935176516958516e-12,6.908360895283999335e-16
1.200041938524910074e+04,1.006853331941518348e-12,5.800991264748299520e-16
1.204683708382605073e+04,9.954660061370766339e-13,8.110115934008098797e-16
1.209325478240300072e+04,9.899998035551914836e-13,6.138154423902019168e-16
1.213967248097995071e+04,9.842966377334297570e-13,7.657204046089101487e-16
1.218609017955690069e+04,9.890697996617766627e-13,6.778555354329171515e-16
1.223250787813385068e+04,9.912520910132796470e-13,6.608184684010607272e-16
1.227892557671080067e+04,9.794660803026772856e-13,6.891686253970177840e-16
1.232534327528774884e+04,9.707112297882261666e-13,6.838365699673288435e-16
1.237176097386470065e+04,9.708407254864849370e-13,4.375754154538159409e-16
1.241817867244164881e+04,9.639616547869261202e-13,9.285433568891018593e-16
1.246459637101859880e+04,9.530958107648828988e-13,5.174256387877735246e-16
1.251101406959554879e+04,9.482348641467963084e-13,5.577804012032427255e-16
1.255743176817249878e+04,9.421464483297336727e-13,5.414532942816568017e-16
1.260384946674944877e+04,9.285747911658294953e-13,7.111362715316532563e-16
1.265026716532639875e+04,9.217262795254080161e-13,4.843112335278217137e-16
1.269668486390334874e+04,9.077599010875973088e-13,5.067607171673976487e-16
1.274310256248029691e+04,9.088409317237637833e-13,6.287836103098684826e-16
1.278952026105724872e+04,9.047120056483322648e-13,5.504925147984811807e-16
