Wavelength,Flux,FluxErr
1.337194363157468069e+04,6.499487096159130185e-17,2.021802828863288076e-17
1.338515678773801301e+04,1.705928052476037560e-16,4.359869036156383026e-17
1.339836994390134532e+04,2.491452494369157036e-16,4.651875771596954774e-17
1.341158310006467764e+04,3.108288614613419719e-16,4.040215000590272759e-17
1.342479625622800995e+04,4.183369943662852648e-16,5.353051193271756714e-17
1.343800941239134045e+04,4.449413580130213327e-16,4.981386984528548890e-17
1.345122256855467276e+04,5.448020603517368286e-16,6.829996119066374647e-17
1.346443572471800508e+04,6.270473477124743475e-16,5.718069638216093379e-17
1.347764888088133739e+04,6.646955913483630056e-16,6.312477418921051812e-17
1.349086203704466971e+04,7.795492977491655077e-16,7.002060448544934373e-17
1.350407519320800202e+04,8.649465174624615797e-16,5.283558958156493966e-17
1.351728834937133433e+04,9.591694528924453472e-16,6.536817654855706656e-17
1.353050150553466483e+04,1.099663750260973253e-15,4.637827554785770241e-17
1.354371466169799714e+04,1.201163359522705985e-15,6.504332721083067003e-17
1.355692781786132946e+04,1.358185630888103635e-15,7.991080985457064772e-17
1.357014097402465995e+04,1.503689852489780122e-15,6.491863467801207613e-17
1.358335413018799227e+04,1.715463141729242761e-15,8.204920699975841813e-17
1.359656728635132458e+04,1.900952867339706355e-15,1.002810940929994208e-16
1.360978044251465690e+04,2.169122482866982806e-15,8.292152518058232435e-17
1.362299359867798921e+04,2.406545603789470882e-15,9.886054812951391684e-17
1.363620675484132153e+04,2.667047323078121752e-15,9.324719902672769517e-17
1.364941991100465384e+04,3.054256215448507603e-15,8.814759707703193840e-17
1.366263306716798434e+04,3.341942824098316515e-15,8.751728762239489825e-17
1.367584622333131665e+04,3.721933482640107888e-15,9.682844215888327892e-17
1.368905937949464897e+04,3.889064378571358042e-15,9.520440763960496737e-17
1.370227253565798128e+04,4.259941164550822741e-15,1.082304451183404429e-16
1.371548569182131359e+04,4.699253184580081655e-15,7.822698944131080048e-17
1.372869884798464591e+04,5.366948749234477938e-15,1.046764161517442177e-16
1.374191200414797640e+04,5.943339139938893466e-15,1.026039406006707149e-16
1.375512516031130872e+04,6.400621617989240851e-15,1.106199350733184066e-16
1.376833831647464103e+04,6.635038073210914925e-15,9.020386546741840094e-17
1.378155147263797335e+04,7.135807403834183447e-15,1.058446969085429722e-16
1.379476462880130566e+04,7.766584962892635370e-15,7.837118206912184499e-17
1.380797778496463798e+04,8.600845150521132762e-15,8.065281042871309125e-17
1.382119094112797029e+04,9.637843093085282994e-15,7.486987411217540420e-17
1.383440409729130079e+04,1.040689152082786959e-14,1.091865355390099216e-16
1.384761725345463310e+04,1.092980303546263268e-14,1.252918505665372203e-16
1.386083040961796542e+04,1.188142303103630285e-14,8.718844078202825070e-17
1.387404356578129773e+04,1.317348204932603359e-14,1.180678712771669667e-16
1.388725672194463004e+04,1.457372182161611424e-14,1.008277709381514986e-16
1.390046987810796054e+04,1.581808335359754202e-14,1.309318179622633276e-16
1.391368303427129285e+04,1.682650059489094380e-14,1.146093381703761652e-16
1.392689619043462517e+04,1.859960655326420934e-14,1.371054077153096611e-16
1.394010934659795748e+04,2.099024434241550558e-14,1.124489236981552030e-16
1.395332250276128980e+04,2.390167136909759191e-14,8.002442393887983496e-17
1.396653565892462211e+04,2.640426035743044295e-14,1.405201896933664173e-16
1.397974881508795443e+04,2.912910987752616430e-14,1.196626795609193462e-16
1.399296197125128492e+04,3.331520059292576969e-14,1.672077237286533746e-16
1.400617512741461724e+04,3.971852531786478130e-14,1.380794973667304640e-16
1.401938828357794955e+04,4.964505561549049136e-14,1.300828739184084280e-16
