Wavelength,Flux,FluxErr
1.192768586811506975e+04,5.244856868295613836e-14,2.945011354973800999e-16
1.194760835077495176e+04,6.192636066366526531e-14,3.235200990727845878e-16
1.196753083343483377e+04,7.696755221966465335e-14,6.529675123355858984e-16
1.198745331609471577e+04,1.037117650742335261e-13,8.789206608101624877e-16
1.200737579875459778e+04,1.469000383797204468e-13,1.127943537357817778e-15
1.202729828141448161e+04,1.991670704521088403e-13,1.163685281908490640e-15
1.204722076407436180e+04,2.409852439799314685e-13,1.164616053158190731e-15
1.206714324673424562e+04,2.857505248928875518e-13,1.504222902595663669e-15
1.208706572939412581e+04,3.706081491516899467e-13,2.742858773163815001e-15
1.210698821205400964e+04,5.311866958870426112e-13,4.293558347025790662e-15
1.212691069471389164e+04,7.633489371815955098e-13,5.130375415083161314e-15
1.214683317737377365e+04,1.000417649028237818e-12,4.256476011436998513e-15
1.216675566003365566e+04,1.160240555180708136e-12,3.168458472817655842e-15
1.218667814269353767e+04,1.286574942323806799e-12,3.404753644423739565e-15
1.220660062535341967e+04,1.454141647864325525e-12,4.631223636886837431e-15
1.222652310801330168e+04,1.699084055217537015e-12,4.671097686442055225e-15
1.224644559067318369e+04,1.907700740154791809e-12,3.803905234688900068e-15
1.226636807333306569e+04,2.021523149640694486e-12,1.814050916217840898e-15
1.228629055599294952e+04,2.070019805680683844e-12,1.191502058145504919e-15
1.230621303865282971e+04,2.103452457772723885e-12,1.171045419257190629e-15
1.232613552131271354e+04,2.128337508511238933e-12,1.011875414325170934e-15
1.234605800397259372e+04,2.123373916287868744e-12,9.751718029392366659e-16
1.236598048663247755e+04,2.089519890461849129e-12,1.387948875441314830e-15
1.238590296929235956e+04,2.152883423353225945e-12,8.542017443354073056e-16
1.240582545195224156e+04,2.167090652255799664e-12,7.520676046762650416e-16
1.242574793461212357e+04,2.190158519681855092e-12,7.212167025294371482e-16
1.244567041727200558e+04,2.180553712898754527e-12,8.863440635420021099e-16
1.246559289993188941e+04,2.184414258515590155e-12,6.797612676427778031e-16
1.248551538259176959e+04,2.190509440095083486e-12,9.561200723297819905e-16
1.250543786525165342e+04,2.232804108982618705e-12,8.931666180670043207e-16
1.252536034791153361e+04,2.285000233250982203e-12,9.569213258287866692e-16
1.254528283057141743e+04,2.284929234933936705e-12,7.330592461327391412e-16
1.256520531323129944e+04,2.285227635450921956e-12,7.908876117142982410e-16
1.258512779589118145e+04,2.299874713938609123e-12,7.765431768488440470e-16
1.260505027855106346e+04,2.325304150002674776e-12,1.133876149547029264e-15
1.262497276121094546e+04,2.317412816881861589e-12,9.351603247869031646e-16
1.264489524387082929e+04,2.284237136627464941e-12,1.116019910899369230e-15
1.266481772653070948e+04,2.342703006109624888e-12,7.483894538339583856e-16
1.268474020919059330e+04,2.352926655331925284e-12,1.004958025892427717e-15
1.270466269185047349e+04,2.361181015677887378e-12,8.335113486174279441e-16
1.272458517451035732e+04,2.352389701619328091e-12,8.505965947040265656e-16
1.274450765717023751e+04,2.382878974792812516e-12,1.090847903291397831e-15
1.276443013983012133e+04,2.370129800221403297e-12,9.904482087143757106e-16
1.278435262249000152e+04,2.369091861641505492e-12,8.728780243553201457e-16
1.280427510514988535e+04,2.376674951754525042e-12,7.506973382486927358e-16
1.282419758780976736e+04,2.361622702739882835e-12,7.517948821074759709e-16
1.284412007046964936e+04,2.356746228469463547e-12,7.402951586659943040e-16
1.286404255312953137e+04,2.360746342419192534e-12,8.125661557724135598e-16
1.288396503578941338e+04,2.342493322746924750e-12,9.150239642894559260e-16
1.290388751844929720e+04,2.325943673063099832e-12,7.105112447169901895e-16
1.292381000110917739e+04,2.319922004178487130e-12,7.644616630416893836e-16
1.294373248376906122e+04,2.310355812140528903e-12,7.141671370937920013e-16
1.296365496642894141e+04,2.324711652080988350e-12,7.846518370522964931e-16
1.298357744908882523e+04,2.272819133277396363e-12,9.136663410282507876e-16
1.300349993174870542e+04,2.276128327386994607e-12,1.219041503993243593e-15
1.302342241440858925e+04,2.303146897023414157e-12,8.475274888608580775e-16
1.304334489706847125e+04,2.317942425522249752e-12,7.365596190124421422e-16
1.306326737972835326e+04,2.333292915855593573e-12,9.161129021716949060e-16
1.308318986238823527e+04,2.324560223895160616e-12,6.059800308450158034e-16
1.310311234504811728e+04,2.305196352819376279e-12,6.700937307780566931e-16
1.312303482770800110e+04,2.287995576343459066e-12,7.124158031726098403e-16
1.314295731036788129e+04,2.289298085867165722e-12,8.282175882852342321e-16
1.316287979302776512e+04,2.305409846478451695e-12,9.831770011541209395e-16
1.318280227568764712e+04,2.298126853368368536e-12,7.614911903243257222e-16
1.320272475834752913e+04,2.259701033631517752e-12,8.933835133889473294e-16
1.322264724100741114e+04,2.273814374343630652e-12,7.792642784622282592e-16
1.324256972366729315e+04,2.277205503712157554e-12,8.208039827796234020e-16
1.326249220632717515e+04,2.275179617718145487e-12,8.329949002758224131e-16
1.328241468898705716e+04,2.249901156624530253e-12,6.165451993096683212e-16
1.330233717164694099e+04,2.258861499622093558e-12,5.825595226632078578e-16
1.332225965430682118e+04,2.242198479123930963e-12,9.259976439473957666e-16
1.334218213696670500e+04,2.229710073833258758e-12,8.517174253077330944e-16
1.336210461962658519e+04,2.212602168888127775e-12,8.403144628668226151e-16
1.338202710228646902e+04,2.193438328052391209e-12,9.069389201324457016e-16
1.340194958494635102e+04,2.150928045120366741e-12,1.360000790375248577e-15
1.342187206760623303e+04,2.146753129074506816e-12,6.076519921344472400e-16
1.344179455026611504e+04,2.119789142698393239e-12,8.148337306749712699e-16
1.346171703292599705e+04,2.116368131356066658e-12,4.798093234211573404e-16
1.348163951558587905e+04,2.115134872167013518e-12,5.594267959167473728e-16
1.350156199824576106e+04,2.112073429470249895e-12,7.546220852428309529e-16
1.352148448090564307e+04,2.106166356843770093e-12,7.622775349082729140e-16
1.354140696356552507e+04,2.097962332537563181e-12,6.227765835440606213e-16
1.356132944622540708e+04,2.056399565065801323e-12,9.443477034636804407e-16
1.358125192888528909e+04,2.066564578873747642e-12,7.397043692919867584e-16
1.360117441154517292e+04,2.056238159446281702e-12,6.980131914754884880e-16
1.362109689420505310e+04,2.077602266005274020e-12,7.491139778374085613e-16
1.364101937686493693e+04,2.050200137752492810e-12,8.261013370110133354e-16
