Wavelength,Flux,FluxErr
1.142522373566358328e+04,4.008501645938965570e-14,3.323750290136856292e-17
1.147149920054671384e+04,3.992037963858565100e-14,5.188810545601598490e-17
1.151777466542984439e+04,4.093326833275977518e-14,4.111075486830959164e-17
1.156405013031297312e+04,4.135849889516945328e-14,3.317659720211665586e-17
1.161032559519610550e+04,4.089891401616508629e-14,2.859016289616571976e-17
1.165660106007923605e+04,4.006260099463086796e-14,4.458397997329760064e-17
1.170287652496236660e+04,3.994532207788766956e-14,2.720218808340750656e-17
1.174915198984549716e+04,3.979112823342513356e-14,2.343228698772167574e-17
1.179542745472862953e+04,3.951789742801786385e-14,3.297212435467895139e-17
1.184170291961175826e+04,3.901976693502538787e-14,2.277621537578120553e-17
1.188797838449488881e+04,3.896990273174943508e-14,3.330694725401927865e-17
1.193425384937802119e+04,3.882967284026106169e-14,2.278291870577938393e-17
1.198052931426114992e+04,3.888367396291753766e-14,1.730034933398212402e-17
1.202680477914428229e+04,3.813294536098294333e-14,2.507598328071345248e-17
1.207308024402741103e+04,3.818429622010177641e-14,2.280941676113227764e-17
1.211935570891054158e+04,3.832517479710712423e-14,2.837542944059655927e-17
1.216563117379367395e+04,3.825809398726463121e-14,3.909908990149682510e-17
1.221190663867680450e+04,3.820413502781221665e-14,3.917737311903016051e-17
1.225818210355993506e+04,3.780941041923883197e-14,2.117634499181156056e-17
1.230445756844306561e+04,3.803200818048433341e-14,2.657577596611597063e-17
1.235073303332619616e+04,3.794412368837521898e-14,1.660450352885660159e-17
1.239700849820932672e+04,3.749969468885060530e-14,1.586696619631236425e-17
1.244328396309245727e+04,3.744762240454317582e-14,2.419599917629538568e-17
1.248955942797558782e+04,3.724150586981503058e-14,3.321071857359201671e-17
1.253583489285871838e+04,3.690882329504172313e-14,9.323579139775349932e-18
1.258211035774185075e+04,3.692776524770912603e-14,2.959420029231818857e-17
1.262838582262497948e+04,3.680936526180750169e-14,2.863163074655107033e-17
1.267466128750811185e+04,3.669596504567319564e-14,2.835799056931459044e-17
1.272093675239124241e+04,3.621900792315708248e-14,2.469123636024786251e-17
1.276721221727437114e+04,3.606668444629432290e-14,2.847722236129167534e-17
1.281348768215750351e+04,3.562211766796965773e-14,2.165984699483632864e-17
1.285976314704063225e+04,3.549823290355097181e-14,1.752858806529654449e-17
1.290603861192376462e+04,3.554629734138594486e-14,2.632444847100251171e-17
1.295231407680689517e+04,3.572276866076238822e-14,2.781595350510278770e-17
1.299858954169002754e+04,3.576930714945162369e-14,2.644744754770879519e-17
1.304486500657315628e+04,3.540264169894435917e-14,3.486544586684892743e-17
1.309114047145628683e+04,3.429308589173685362e-14,1.892311186859155135e-17
1.313741593633941739e+04,3.482335279364316242e-14,1.545720065265522729e-17
1.318369140122254794e+04,3.389272729425297092e-14,2.950866248817511505e-17
1.322996686610568031e+04,3.426854644078842400e-14,2.657950343797710867e-17
1.327624233098881086e+04,3.434355110646969116e-14,2.326342684159387032e-17
1.332251779587193960e+04,3.431851624299874554e-14,2.709330372819871013e-17
1.336879326075507015e+04,3.388988162684235908e-14,2.025884454354326638e-17
1.341506872563820070e+04,3.348303626915288698e-14,1.181448112671294440e-17
1.346134419052133308e+04,3.331797917809469072e-14,2.181698018842305496e-17
1.350761965540446363e+04,3.264571454864306624e-14,3.152812775015059322e-17
1.355389512028759600e+04,3.252863979791033271e-14,2.129400859320749104e-17
1.360017058517072473e+04,3.244224725947733336e-14,1.598308331755417314e-17
1.364644605005385347e+04,3.233116248938417426e-14,2.767575606997112279e-17
1.369272151493698584e+04,3.211834894313498092e-14,1.851863339966060993e-17
1.373899697982011639e+04,3.190178708282248297e-14,2.289960981709497473e-17
1.378527244470324877e+04,3.210473256863872435e-14,1.570590772833301640e-17
1.383154790958637750e+04,3.170666795249880854e-14,3.088374767860164564e-17
1.387782337446950987e+04,3.125094470414247553e-14,3.047234892239018162e-17
