Wavelength,Flux,FluxErr
1.141421953372605640e+04,5.958634795576771349e-14,1.715531546485461973e-15
1.146045917552759965e+04,5.921596931070914869e-14,1.163766741579420791e-15
1.150669881732914291e+04,5.919555926955064190e-14,1.137708034146105856e-15
1.155293845913068435e+04,5.935882813188749185e-14,1.118786416195878459e-15
1.159917810093222761e+04,5.955134750396319585e-14,9.121122963920256548e-16
1.164541774273377087e+04,5.863113006365532922e-14,6.996209284804440074e-16
1.169165738453531412e+04,5.732035043236447861e-14,6.602653870480632841e-16
1.173789702633685374e+04,5.691313018233511218e-14,8.468870351180847694e-16
1.178413666813839700e+04,5.694843206994379479e-14,1.241737403947950654e-15
1.183037630993994026e+04,5.660165223228250970e-14,1.385377165777375642e-15
1.187661595174148351e+04,5.621590457867547236e-14,1.298201146078183002e-15
1.192285559354302495e+04,5.543840032955429759e-14,1.234081389817465154e-15
1.196909523534456821e+04,5.552924841795220928e-14,1.092476939020047908e-15
1.201533487714611147e+04,5.525698211867895778e-14,9.585989742971630194e-16
1.206157451894765472e+04,5.484925420962635251e-14,8.060144810305867582e-16
1.210781416074919798e+04,5.486844512902053579e-14,9.585460021992281387e-16
1.215405380255073942e+04,5.443397366779752620e-14,9.841371063736807502e-16
1.220029344435228268e+04,5.480929245967745054e-14,9.689655738949976176e-16
1.224653308615382593e+04,5.490369029192657001e-14,9.880903076600750557e-16
1.229277272795536919e+04,5.447975287400186661e-14,9.248087715480152398e-16
1.233901236975691063e+04,5.450941155205053319e-14,7.500500144645950028e-16
1.238525201155845389e+04,5.437358372024711346e-14,6.621575358506316188e-16
1.243149165335999533e+04,5.371766648531422233e-14,5.226560321058345270e-16
1.247773129516153858e+04,5.363298692017484273e-14,3.816406512553942862e-16
1.252397093696308002e+04,5.331015629721668647e-14,2.818921217028292771e-16
1.257021057876462328e+04,5.308377581687184277e-14,2.548251205052247660e-16
1.261645022056616654e+04,5.275111528524437612e-14,1.615928665133673816e-16
1.266268986236770979e+04,5.277769848912799904e-14,1.068919145816856473e-16
1.270892950416925305e+04,5.200773579066024154e-14,7.724208239971322846e-17
1.275516914597079449e+04,5.121595517912488284e-14,6.865857868423965508e-17
1.280140878777233775e+04,5.077149824436063640e-14,1.795093864147721818e-16
1.284764842957388100e+04,5.078145581359587471e-14,2.597324393790197755e-16
1.289388807137542426e+04,5.086354401432512381e-14,3.154347289702876491e-16
1.294012771317696570e+04,5.042540713271135083e-14,4.868472932887119161e-16
1.298636735497850896e+04,4.883033979067573413e-14,6.259687363757891212e-16
1.303260699678005221e+04,5.022113895624797836e-14,6.920740662248074115e-16
1.307884663858159547e+04,4.983205881618357222e-14,6.642848385411242608e-16
1.312508628038313691e+04,4.981297064571685567e-14,5.688665298050083220e-16
1.317132592218468017e+04,4.880140362055057510e-14,3.134306386269803765e-16
1.321756556398622342e+04,4.862671861757036924e-14,2.358700361716888098e-16
1.326380520578776668e+04,4.882938175466024110e-14,2.701394151615732032e-16
1.331004484758930994e+04,4.904726073363868328e-14,4.884141860109190558e-16
1.335628448939085138e+04,4.900244579840891893e-14,3.207701426228192412e-16
1.340252413119239463e+04,4.831065562490399798e-14,3.700052057388191654e-16
1.344876377299393789e+04,4.796071843234600602e-14,3.372095439591267244e-16
1.349500341479548115e+04,4.757099999516499195e-14,6.817808608222183815e-17
1.354124305659702259e+04,4.722929653206288067e-14,6.216468385819528379e-17
1.358748269839856584e+04,4.679892608400696936e-14,7.717601918039597047e-17
1.363372234020010910e+04,4.644864719099667767e-14,9.234462464386817064e-17
1.367996198200165054e+04,4.704023246173072288e-14,9.842425410650437768e-17
1.372620162380319198e+04,4.688782839014277514e-14,1.151177482814328640e-16
1.377244126560473524e+04,4.650449034924555079e-14,2.125462757060614017e-16
1.381868090740627849e+04,4.575756042890726149e-14,4.163830487205776742e-16
1.386492054920782175e+04,4.608156895844986868e-14,5.672941648954503254e-16
1.391116019100936501e+04,4.541175113408858815e-14,6.443961402768024995e-16
1.395739983281090645e+04,4.483468385746707723e-14,6.726355622312122427e-16
1.400363947461244970e+04,4.481599064852816800e-14,5.215631774152414894e-16
1.404987911641399296e+04,4.471259418563217293e-14,2.497388011605775482e-16
1.409611875821553440e+04,4.432919047986191730e-14,2.960010222204339479e-16
1.414235840001707584e+04,4.442032454698210999e-14,3.354516534457434051e-16
1.418859804181861909e+04,4.423673347237313878e-14,3.878830387610298029e-16
1.423483768362016235e+04,4.399283530099442033e-14,3.614583826620758667e-16
1.428107732542170561e+04,4.391519493831489319e-14,2.196057148915300136e-16
1.432731696722324705e+04,4.337387696078281982e-14,1.070846959169745656e-16
1.437355660902479030e+04,4.350771770420136560e-14,5.687136893440336123e-17
1.441979625082633356e+04,4.272146089499396328e-14,5.616798018095870364e-17
1.446603589262787682e+04,4.302704999730187019e-14,4.211415215947567917e-17
1.451227553442942008e+04,4.313382262584876422e-14,3.889815283658831226e-17
1.455851517623096152e+04,4.307207601695599550e-14,8.452942391857011668e-17
1.460475481803250477e+04,4.293728215339331657e-14,2.164908398504877006e-16
1.465099445983404803e+04,4.243211793231606810e-14,4.130225256968648271e-16
1.469723410163559129e+04,4.183428802097725153e-14,4.935526661906120033e-16
1.474347374343713273e+04,4.197085776705748433e-14,4.692050125945322558e-16
1.478971338523867598e+04,4.211023291437523143e-14,4.180287764907858719e-16
1.483595302704021924e+04,4.197935324110386674e-14,3.675544886119696619e-16
1.488219266884176250e+04,4.160175771839100753e-14,3.259770528397768003e-16
1.492843231064330575e+04,4.069420968728618507e-14,3.187856275582469724e-16
1.497467195244484719e+04,4.099035256477022010e-14,1.352584866709726434e-16
1.502091159424639045e+04,4.070066644911963538e-14,1.963356099211336833e-16
1.506715123604793371e+04,4.002393071478068345e-14,5.467849878390182709e-16
1.511339087784947696e+04,3.983540292316120375e-14,4.388226245155795690e-16
1.515963051965101840e+04,4.088333118602606569e-14,3.979927156838481248e-16
1.520587016145256166e+04,4.102533437286073346e-14,5.911335667251282135e-16
1.525210980325410492e+04,4.093058668536942648e-14,4.750181566368367912e-16
1.529834944505564818e+04,4.072491620434507170e-14,5.041249905413257053e-16
1.534458908685718961e+04,4.045313025933586928e-14,3.467063277336813451e-16
1.539082872865873287e+04,4.004549609114009838e-14,2.800025580929086424e-16
