Wavelength,Flux,FluxErr
1.141047954878184100e+04,8.215755924437258139e-15,9.570031902303692693e-18
1.145664201323910675e+04,8.708499247461352859e-15,1.980188608505105396e-17
1.150280447769637249e+04,9.273705930605710790e-15,1.839916489025018883e-17
1.154896694215363823e+04,9.405385408626046102e-15,1.373556499163503728e-17
1.159512940661090215e+04,9.354410271317055774e-15,1.574166452927923461e-17
1.164129187106816789e+04,9.279509518532522366e-15,1.986021656160984921e-17
1.168745433552543363e+04,9.052831946116827131e-15,1.010025863666982013e-17
1.173361679998269938e+04,8.709217457489573635e-15,7.972420888364647706e-18
1.177977926443996512e+04,8.493260172385823281e-15,1.305375344616530552e-17
1.182594172889723086e+04,8.597077320580705905e-15,1.595665584017366898e-17
1.187210419335449478e+04,8.805667888956634965e-15,1.130669871734734338e-17
1.191826665781176052e+04,8.796177841645098102e-15,1.167024521842303309e-17
1.196442912226902627e+04,8.650565936825406396e-15,1.358265573087958532e-17
1.201059158672629201e+04,8.370863074144021176e-15,1.162836627092779918e-17
1.205675405118355775e+04,8.563585548887661944e-15,8.614265297069254148e-18
1.210291651564082349e+04,8.801203153967726337e-15,1.090386213410099621e-17
1.214907898009808923e+04,8.864012819802046131e-15,1.233162481856372826e-17
1.219524144455535497e+04,9.043877491588093165e-15,1.404400545647690737e-17
1.224140390901262072e+04,9.090427770504826102e-15,1.359864591198629276e-17
1.228756637346988646e+04,9.262915876193957746e-15,1.201493603799503720e-17
1.233372883792715038e+04,9.111879417941345363e-15,8.006589586787399874e-18
1.237989130238441612e+04,8.881733626987055621e-15,8.286229378480444269e-18
1.242605376684168186e+04,8.527444088238888965e-15,1.077747885730197334e-17
1.247221623129894760e+04,8.457900336623773513e-15,7.652289098523018302e-18
1.251837869575621335e+04,8.517151104701151643e-15,1.158766589575337338e-17
1.256454116021347909e+04,8.716420991281074181e-15,1.334499957073937191e-17
1.261070362467074301e+04,8.934328280632364789e-15,1.163999348764629087e-17
1.265686608912800875e+04,9.101554296987410971e-15,1.032108375470927422e-17
1.270302855358527449e+04,9.048128671565126075e-15,1.069137528644614586e-17
1.274919101804254024e+04,9.252858436442820803e-15,1.092951277232933638e-17
1.279535348249980598e+04,9.164363633475699671e-15,1.093612307138299819e-17
1.284151594695707172e+04,9.126555372144262567e-15,1.141478515894085067e-17
1.288767841141433746e+04,9.178972852533969944e-15,7.822352980461550780e-18
1.293384087587160320e+04,9.252647505957426910e-15,1.135126063747727734e-17
1.298000334032886894e+04,9.306431572791280730e-15,1.005057041148220059e-17
1.302616580478613469e+04,9.187797719449369113e-15,6.480511114974259357e-18
1.307232826924339861e+04,9.010890007298026733e-15,1.099236327310173921e-17
1.311849073370066435e+04,8.916752393856705419e-15,9.379319814510587181e-18
1.316465319815793009e+04,8.844363441940514385e-15,1.327242113938049851e-17
1.321081566261519583e+04,8.843691126941111113e-15,5.442148401006321792e-18
1.325697812707246158e+04,8.636033805743122887e-15,1.485500387572246269e-17
1.330314059152972550e+04,8.079896307722804771e-15,1.599555563378220678e-17
1.334930305598699124e+04,7.281912595358007519e-15,1.680897345239605339e-17
1.339546552044425698e+04,6.862188338979602788e-15,1.043292347195215322e-17
1.344162798490152272e+04,6.635836940624540316e-15,9.554728240792524300e-18
1.348779044935878846e+04,6.329397743432788452e-15,8.079660961107622034e-18
1.353395291381605421e+04,6.168949131051494341e-15,7.282468436671799915e-18
1.358011537827331995e+04,6.158801422312259733e-15,8.380071901476642809e-18
1.362627784273058569e+04,6.130553429128231754e-15,5.990116914956863581e-18
1.367244030718785143e+04,6.149223429036263949e-15,6.281913176054655247e-18
1.371860277164511717e+04,6.000413955093144842e-15,8.667388563184434385e-18
1.376476523610238291e+04,6.026515918884483531e-15,9.965276590072594565e-18
