Wavelength,Flux,FluxErr
1.141047954878184100e+04,8.220602276751906923e-15,1.691980552182042680e-17
1.145664201323910675e+04,8.669480926398056023e-15,2.851947169249104720e-17
1.150280447769637249e+04,9.252971345337896647e-15,1.109982033561719545e-17
1.154896694215363823e+04,9.405679644653021396e-15,1.273923989878649549e-17
1.159512940661090215e+04,9.354517950683334956e-15,7.978982317890511454e-18
1.164129187106816789e+04,9.290875417221093150e-15,7.845471197922494678e-18
1.168745433552543363e+04,9.058528869764589215e-15,1.795341951566438099e-17
1.173361679998269938e+04,8.710031325077065213e-15,1.699793362370529922e-17
1.177977926443996512e+04,8.504514722202177552e-15,1.245313857325122866e-17
1.182594172889723086e+04,8.571216464067759993e-15,2.204501860153222599e-17
1.187210419335449478e+04,8.812349811788395538e-15,8.962697993796388883e-18
1.191826665781176052e+04,8.791925677401042578e-15,9.491723355818829438e-18
1.196442912226902627e+04,8.661693240683755394e-15,1.333647622916767754e-17
1.201059158672629201e+04,8.351529141534075322e-15,1.144605557709286838e-17
1.205675405118355775e+04,8.533612342211300782e-15,1.843286521181689693e-17
1.210291651564082349e+04,8.790180213496590015e-15,1.231878047713647112e-17
1.214907898009808923e+04,8.848194823150558830e-15,1.180787498019662231e-17
1.219524144455535497e+04,9.038196033907166477e-15,1.312880724713910245e-17
1.224140390901262072e+04,9.072834190935330668e-15,1.381672293578339831e-17
1.228756637346988646e+04,9.255609411478055391e-15,1.378786940137346564e-17
1.233372883792715038e+04,9.120254864776969057e-15,1.180286353020475442e-17
1.237989130238441612e+04,8.875898077249530031e-15,1.053224239852549389e-17
1.242605376684168186e+04,8.530529097830604466e-15,2.067576923638546465e-17
1.247221623129894760e+04,8.447853625814338291e-15,1.561496584547807086e-17
1.251837869575621335e+04,8.509863626317334538e-15,1.272047077526373527e-17
1.256454116021347909e+04,8.691371459024487894e-15,1.728673787081559484e-17
1.261070362467074301e+04,8.919088723979908753e-15,1.044154787561514182e-17
1.265686608912800875e+04,9.093210334275338999e-15,1.167624037090229714e-17
1.270302855358527449e+04,9.022562480972485608e-15,1.489707252833686614e-17
1.274919101804254024e+04,9.242298283364346449e-15,9.182599161195929500e-18
1.279535348249980598e+04,9.173541180074602723e-15,1.274624410989097505e-17
1.284151594695707172e+04,9.112399088677307935e-15,6.551371663257833982e-18
1.288767841141433746e+04,9.172465354346984667e-15,7.620352508576311632e-18
1.293384087587160320e+04,9.229090210668143308e-15,1.120327584822082038e-17
1.298000334032886894e+04,9.294346907371801637e-15,8.737343149831426584e-18
1.302616580478613469e+04,9.184000152932166909e-15,1.173387122235176668e-17
1.307232826924339861e+04,9.009767500125430585e-15,1.320723234780260386e-17
1.311849073370066435e+04,8.910515976354927984e-15,1.325328107304006290e-17
1.316465319815793009e+04,8.839877602677359223e-15,1.224885640460081205e-17
1.321081566261519583e+04,8.843678145740722743e-15,1.300027147325866699e-17
1.325697812707246158e+04,8.642690977227486668e-15,8.451646528873392456e-18
1.330314059152972550e+04,8.088994965321918769e-15,1.955675924412545074e-17
1.334930305598699124e+04,7.290747192728755961e-15,1.583019352427864269e-17
