Wavelength,Flux,FluxErr
1.142396224714060736e+04,8.127800221145414217e-15,1.411424239203059549e-17
1.147037045896389827e+04,8.351122025566433226e-15,2.630775695590692683e-17
1.151677867078718737e+04,9.099759353589733140e-15,2.122853299937159372e-17
1.156318688261047828e+04,9.255628442332008094e-15,1.653491424896860838e-17
1.160959509443376737e+04,9.162479821374242014e-15,1.523347765427475319e-17
1.165600330625705828e+04,9.061059556078231494e-15,1.841978299365342164e-17
1.170241151808034920e+04,8.883843844965139161e-15,1.837573371825776567e-17
1.174881972990364011e+04,8.561183467692520495e-15,1.614992431905652615e-17
1.179522794172692920e+04,8.442466228370324588e-15,1.177269045602232319e-17
1.184163615355022011e+04,8.228566623907423042e-15,2.331432268067576965e-17
1.188804436537350921e+04,8.607573219680724890e-15,2.029657130147551531e-17
1.193445257719680012e+04,8.611836775872326055e-15,1.683980217837824875e-17
1.198086078902009103e+04,8.554799069547480456e-15,1.516909354933766263e-17
1.202726900084338013e+04,8.151767745099388527e-15,1.168675371947613886e-17
1.207367721266667104e+04,8.244011555741247767e-15,1.484044445870746173e-17
1.212008542448996195e+04,8.588114608764839257e-15,1.540691813937937262e-17
1.216649363631325105e+04,8.607167567815023554e-15,1.930466394248835538e-17
1.221290184813654196e+04,8.849443787000309660e-15,2.133599036663576119e-17
1.225931005995983287e+04,8.731678567952710492e-15,1.551254985427171116e-17
1.230571827178312196e+04,9.013778914423533293e-15,1.760430290185683918e-17
1.235212648360641288e+04,8.889306626177220181e-15,1.596513536844150842e-17
1.239853469542970197e+04,8.710603387984902308e-15,1.699836162064097579e-17
1.244494290725299288e+04,8.476697549368053304e-15,1.381866231728793454e-17
1.249135111907628379e+04,8.238594903504024229e-15,1.342896029982307090e-17
1.253775933089957471e+04,8.356531820673800607e-15,1.721288779511807336e-17
1.258416754272286380e+04,8.373926992189625165e-15,1.462569483446016913e-17
1.263057575454615471e+04,8.789503229707781417e-15,1.450495502615859667e-17
1.267698396636944381e+04,8.945991953733597894e-15,1.289806195181734891e-17
1.272339217819273472e+04,8.870189466155798741e-15,1.462597338220267554e-17
1.276980039001602563e+04,8.970969911421889365e-15,1.116727017066228369e-17
1.281620860183931654e+04,8.949573703343167392e-15,1.829620903522501523e-17
1.286261681366260564e+04,8.934218819410860205e-15,1.675301975299443370e-17
1.290902502548589655e+04,8.937843197144627547e-15,1.513822474396912596e-17
1.295543323730918564e+04,9.098478292091121753e-15,1.856637678656409609e-17
1.300184144913247655e+04,9.099740034106590395e-15,1.357528951627166154e-17
1.304824966095576747e+04,9.052840293562612346e-15,1.630635690736221727e-17
1.309465787277905656e+04,8.815064135930149197e-15,1.514712804208231837e-17
1.314106608460234747e+04,8.837418572083928528e-15,1.550400588868167778e-17
1.318747429642563657e+04,8.622235672202667133e-15,1.455298061656303394e-17
1.323388250824892748e+04,8.754165227322117080e-15,1.509390854628179980e-17
1.328029072007221839e+04,8.593007021405497028e-15,1.247769755577794481e-17
1.332669893189550930e+04,8.180481399256219045e-15,1.756453357174331001e-17
1.337310714371879840e+04,7.372900770287460338e-15,1.714688320647775357e-17
1.341951535554208931e+04,6.794463330821242620e-15,1.288763344564731772e-17
1.346592356736537840e+04,6.562023818527051722e-15,1.056402211887754379e-17
1.351233177918866932e+04,6.307129007390161549e-15,8.872121965555430893e-18
1.355873999101196023e+04,6.086589417844536452e-15,1.103601987812274959e-17
1.360514820283525114e+04,6.041884652346950557e-15,1.164434021472620762e-17
1.365155641465854023e+04,6.036535053361064332e-15,8.109196243977972071e-18
1.369796462648182933e+04,6.036072258399808939e-15,9.662964297533859479e-18
1.374437283830512024e+04,5.878658605931620483e-15,1.113122004025887304e-17
1.379078105012841115e+04,5.939123355967909794e-15,1.178735702392681721e-17
1.383718926195170206e+04,5.964436353681136790e-15,1.020372344013976383e-17
1.388359747377499298e+04,5.990917240633645851e-15,1.297037864447526840e-17
1.393000568559828207e+04,5.830949887840261186e-15,8.070245528962119623e-18
1.397641389742157116e+04,5.775498558758483150e-15,7.958854908897081497e-18
1.402282210924486208e+04,5.559350197564498318e-15,8.596819579426918693e-18
1.406923032106815299e+04,5.494799022386784109e-15,9.495219725092309457e-18
1.411563853289144390e+04,5.448291779778825197e-15,7.565429847850991091e-18
1.416204674471473299e+04,5.339275426277022521e-15,1.190027491965582454e-17
1.420845495653802391e+04,5.236044567664760843e-15,9.084939214846783228e-18
1.425486316836131300e+04,5.245346951941724797e-15,6.930764699536749706e-18
1.430127138018460391e+04,5.155397385564648287e-15,9.287961353983681196e-18
1.434767959200789483e+04,5.141987157776416742e-15,9.549207186323190801e-18
1.439408780383118574e+04,5.167362377878862659e-15,1.003270870032693616e-17
1.444049601565447483e+04,5.226593223019291559e-15,1.011026377828639312e-17
1.448690422747776392e+04,5.341466099631905975e-15,1.155028055555431859e-17
1.453331243930105484e+04,5.177466045562832553e-15,1.018868806107330779e-17
1.457972065112434575e+04,5.356375534241971421e-15,8.779591178400757007e-18
1.462612886294763666e+04,5.340467280680982874e-15,1.020938356701109627e-17
1.467253707477092757e+04,5.280841100386940058e-15,1.152119883595757239e-17
1.471894528659421667e+04,5.242832883612589612e-15,1.059569989809900329e-17
1.476535349841750576e+04,5.233560933721206396e-15,9.117458048232043426e-18
1.481176171024079667e+04,5.174925244374936523e-15,8.417838624102320794e-18
1.485816992206408759e+04,5.153678297979604227e-15,1.033480800996819646e-17
1.490457813388737850e+04,5.279804548261684543e-15,1.022403976236966786e-17
1.495098634571066759e+04,5.294071360443648480e-15,9.808460096195314368e-18
1.499739455753395850e+04,5.308144518786110584e-15,1.066128270546315121e-17
1.504380276935724760e+04,5.310781011421872579e-15,1.119367458797170521e-17
1.509021098118053851e+04,5.455831598471121948e-15,1.055095997841380415e-17
1.513661919300382942e+04,5.489618313127689679e-15,9.817350302885935999e-18
1.518302740482712034e+04,5.474204082461187395e-15,9.000361838284434588e-18
1.522943561665040943e+04,5.494367342429046955e-15,1.233290325465941967e-17
1.527584382847369852e+04,5.538206577620178169e-15,8.873624663955135588e-18
1.532225204029698943e+04,5.586651185131323997e-15,1.229479624493162199e-17
1.536866025212028035e+04,5.635939222895576245e-15,9.662828522768092536e-18
1.541506846394357126e+04,5.624158098769271882e-15,8.383243452080770414e-18
1.546147667576686217e+04,5.627092856002329794e-15,8.595101534521958226e-18
1.550788488759015127e+04,5.660137295063449071e-15,8.658381190672278492e-18
1.555429309941344036e+04,5.798869775139927691e-15,1.159294759427060080e-17
1.560070131123673127e+04,5.831879164919608533e-15,1.359160754701680594e-17
1.564710952306002218e+04,5.843516782920139557e-15,1.015432817419762881e-17
1.569351773488331310e+04,5.913707854648845664e-15,9.527093971667218362e-18
1.573992594670660219e+04,5.955739532824852630e-15,1.284074179425099591e-17
1.578633415852989310e+04,5.951423889082632145e-15,1.016319569419767912e-17
1.583274237035318220e+04,5.963061565108858094e-15,1.084680504276872934e-17
1.587915058217647311e+04,5.897576061271565481e-15,1.019432753919819274e-17
1.592555879399976402e+04,5.966491070852861438e-15,1.035513794232311864e-17
1.597196700582305493e+04,6.017724600912688651e-15,8.303803203092647332e-18
1.601837521764634403e+04,6.112104784784126622e-15,1.480693544854335326e-17
1.606478342946963494e+04,6.021940193014632892e-15,1.049446306431734593e-17
1.611119164129292403e+04,6.014448872226199344e-15,1.253537671111453046e-17
1.615759985311621494e+04,6.059637195412484820e-15,9.931524418942016190e-18
