Wavelength,Flux,FluxErr
1.140512553502366427e+04,5.128326601753386847e-14,3.230349118584283234e-17
1.145154570720367519e+04,5.056485242645233473e-14,2.960018154161075455e-17
1.149796587938368612e+04,4.908645080905442928e-14,3.474584992215081079e-17
1.154438605156369704e+04,5.052367808223670717e-14,3.588618721807410257e-17
1.159080622374370796e+04,4.975154539226665342e-14,3.464070734846506125e-17
1.163722639592371888e+04,4.915270434800202809e-14,3.870217439950169503e-17
1.168364656810372981e+04,4.773638506305903015e-14,3.530564035333891922e-17
1.173006674028374073e+04,4.671956794016012060e-14,3.664917624023437837e-17
1.177648691246375165e+04,4.733104665297054531e-14,4.556436596376051159e-17
1.182290708464376075e+04,4.685464055292104104e-14,4.095614259606910391e-17
1.186932725682377350e+04,4.613139230374204055e-14,3.222164295524067956e-17
1.191574742900378260e+04,4.560137060591868649e-14,3.602956881130227688e-17
1.196216760118379352e+04,4.529666962388029651e-14,2.678158046027971978e-17
1.200858777336380444e+04,4.486665784980321039e-14,3.918963718574245419e-17
1.205500794554381537e+04,4.424707156078105855e-14,3.291348897623995380e-17
1.210142811772382629e+04,4.376377426007757973e-14,4.061116142838715884e-17
1.214784828990383721e+04,4.348431721434323962e-14,3.576473827128696228e-17
1.219426846208384814e+04,4.313002491761447533e-14,4.305215243048155769e-17
1.224068863426385906e+04,4.299475917315760340e-14,2.439575928352937981e-17
1.228710880644386998e+04,4.245819853095896200e-14,3.000314219419169323e-17
1.233352897862388090e+04,4.175343861629551052e-14,3.793983811714216097e-17
1.237994915080389183e+04,4.170301122279478802e-14,2.804473210381569413e-17
1.242636932298390093e+04,4.166381737666860245e-14,2.683535534793317292e-17
1.247278949516391367e+04,4.082376216047552630e-14,2.849665839704145509e-17
1.251920966734392277e+04,4.074430135707761152e-14,3.197086725689432160e-17
1.256562983952393370e+04,4.072638834889733872e-14,2.308039679472848779e-17
1.261205001170394462e+04,3.965119272591761801e-14,2.173330539203334507e-17
1.265847018388395554e+04,3.963137408238195226e-14,2.803831602319434524e-17
1.270489035606396646e+04,3.895786358441063027e-14,2.201438278708049398e-17
1.275131052824397739e+04,3.817774258993694687e-14,5.254845913559140039e-17
1.279773070042398831e+04,3.768788505655771437e-14,2.041343457315011845e-17
1.284415087260399923e+04,3.654437845471245340e-14,3.324206998147099057e-17
1.289057104478401016e+04,3.540604417831325109e-14,2.247529189513042764e-17
1.293699121696401926e+04,3.657268035455852508e-14,3.535645407652483792e-17
1.298341138914403200e+04,3.681333992245775095e-14,2.149830831157974573e-17
1.302983156132404110e+04,3.672910680603809436e-14,2.159795577546078752e-17
1.307625173350405203e+04,3.666598166273350161e-14,1.972802535024241848e-17
1.312267190568406295e+04,3.600206297165522954e-14,2.480560946164713657e-17
1.316909207786407387e+04,3.382731734139250327e-14,2.490508435245671402e-17
1.321551225004408479e+04,3.490264409264211324e-14,2.293687034953606962e-17
1.326193242222409572e+04,3.424579366894077517e-14,2.449118539631007773e-17
1.330835259440410664e+04,3.450843901114451539e-14,2.350475302184442565e-17
1.335477276658411756e+04,3.416003501868556813e-14,1.944988839755193487e-17
1.340119293876412848e+04,3.423832519391162165e-14,2.261764513902301587e-17
1.344761311094413759e+04,3.372781674498050533e-14,2.712827842424722766e-17
