Wavelength,Flux,FluxErr
1.142668284862490873e+04,2.276443781396017955e-14,1.751081022621862097e-17
1.147304129247913625e+04,2.277836050256777728e-14,1.469617874955963806e-17
1.151939973633336194e+04,2.293495796532699174e-14,1.386896829343041013e-17
1.156575818018759128e+04,2.269432235071958818e-14,1.492700031103975447e-17
1.161211662404181698e+04,2.227054973737304093e-14,1.810471919254946266e-17
1.165847506789604449e+04,2.179702351851894392e-14,2.315625216629640796e-17
1.170483351175027201e+04,2.171241225381378208e-14,2.360402133972565966e-17
1.175119195560449953e+04,2.158673848183970220e-14,2.123841191430838458e-17
1.179755039945872522e+04,2.143491804241591925e-14,9.461323854407749388e-18
1.184390884331295456e+04,2.118048013106857339e-14,1.390123878047606064e-17
1.189026728716718208e+04,2.082488882647172027e-14,2.187457091911667026e-17
1.193662573102140777e+04,2.064851327278876543e-14,1.473531062589039911e-17
1.198298417487563529e+04,2.055468465227066561e-14,1.338474588127694222e-17
1.202934261872986281e+04,2.021615871810247887e-14,2.578577643719677138e-17
1.207570106258409032e+04,2.012367932943832686e-14,1.851943053056518767e-17
1.212205950643831784e+04,2.013523120915647595e-14,2.021250022515742771e-17
1.216841795029254354e+04,1.998081716450968592e-14,1.422995998051665178e-17
1.221477639414677105e+04,1.981393329662687641e-14,1.474223207751134151e-17
1.226113483800100039e+04,1.967985836998850133e-14,1.587817995215945310e-17
1.230749328185522609e+04,1.939574597828863924e-14,9.948853583122519963e-18
1.235385172570945360e+04,1.928157652002558223e-14,1.639821028699313865e-17
1.240021016956368112e+04,1.898482790853943515e-14,1.459591475990378775e-17
1.244656861341790864e+04,1.906003363109093620e-14,2.396719973965527674e-17
1.249292705727213433e+04,1.883457636553286837e-14,2.068272105514413740e-17
1.253928550112636367e+04,1.868951780615248597e-14,1.872657344985248205e-17
1.258564394498058937e+04,1.852564752631327477e-14,2.000294366181751180e-17
1.263200238883481688e+04,1.824803061781117202e-14,1.136711987620788500e-17
1.267836083268904440e+04,1.805705109641573004e-14,2.091208300730722670e-17
1.272471927654327192e+04,1.788094670451651759e-14,1.523843681509944033e-17
1.277107772039749761e+04,1.752607270016885640e-14,1.572206924195331726e-17
1.281743616425172695e+04,1.719692327011131655e-14,1.815624884576745756e-17
1.286379460810595447e+04,1.666030284839491659e-14,1.649166702951643156e-17
1.291015305196018016e+04,1.741163335205301630e-14,2.494771344910545590e-17
1.295651149581440768e+04,1.733269647174209759e-14,2.104296065094069767e-17
1.300286993966863520e+04,1.718067570390941216e-14,1.652791814388705830e-17
1.304922838352286271e+04,1.698323504513265598e-14,1.151634010554681408e-17
1.309558682737709023e+04,1.687140090015810529e-14,1.349865683548207200e-17
1.314194527123131593e+04,1.667997373923894769e-14,1.173017997077358624e-17
1.318830371508554344e+04,1.636108302750443996e-14,1.219416426837719918e-17
1.323466215893977278e+04,1.601416920903910569e-14,1.154181574718995970e-17
1.328102060279399848e+04,1.606815830777769351e-14,5.739837064400205092e-18
1.332737904664822418e+04,1.588327890465407484e-14,1.236801016787490744e-17
1.337373749050245351e+04,1.586401237738493710e-14,1.998431457075606143e-17
1.342009593435668103e+04,1.572558999664760464e-14,1.043621082010238524e-17
1.346645437821090673e+04,1.559869411727270226e-14,6.769362006861611950e-18
1.351281282206513424e+04,1.550905772352263710e-14,1.330455491011091116e-17
1.355917126591936176e+04,1.530787143421846183e-14,1.257609142325595569e-17
1.360552970977358927e+04,1.537826192384924717e-14,1.678536642246694638e-17
1.365188815362781861e+04,1.498734689567287610e-14,1.380134389808227948e-17
1.369824659748204431e+04,1.500575039088511501e-14,9.245606132117719992e-18
1.374460504133627001e+04,1.483313859473645313e-14,1.691797867679660730e-17
1.379096348519049934e+04,1.467029232973918520e-14,1.058820813793363079e-17
1.383732192904472686e+04,1.443002807777502991e-14,1.225050775085674926e-17
1.388368037289895256e+04,1.421414896478216418e-14,1.940103864816196696e-17
1.393003881675318007e+04,1.439062368115719313e-14,1.455735421199149719e-17
1.397639726060740759e+04,1.425764797036406210e-14,1.232855888966610123e-17
1.402275570446163510e+04,1.417258183474393980e-14,1.183670867987989780e-17
1.406911414831586262e+04,1.392830666836739154e-14,1.660542554565242071e-17
1.411547259217008832e+04,1.392915326975905323e-14,1.044924608534811291e-17
1.416183103602431584e+04,1.367216224945678611e-14,1.322370539744616062e-17
1.420818947987854517e+04,1.364926025073675783e-14,1.145259518522823174e-17
1.425454792373277087e+04,1.359362622509707393e-14,1.458645672210942604e-17
1.430090636758699657e+04,1.336209727900536042e-14,8.527379728267681748e-18
1.434726481144122590e+04,1.315964310736170245e-14,1.567950072302217082e-17
1.439362325529545342e+04,1.314419709508239239e-14,8.738561742013706672e-18
1.443998169914967912e+04,1.300538394515467038e-14,1.099559565496269159e-17
1.448634014300390663e+04,1.298062028218880881e-14,1.263395731313867851e-17
1.453269858685813415e+04,1.287272802841641931e-14,1.164886312090959460e-17
1.457905703071236167e+04,1.269796090191948790e-14,1.242668324975129734e-17
1.462541547456659100e+04,1.281402771848392619e-14,1.417034755036753614e-17
1.467177391842081670e+04,1.217785588099321630e-14,7.180291308697171148e-18
1.471813236227504240e+04,1.240060374288428344e-14,1.241833666059125359e-17
1.476449080612927173e+04,1.237795726796995341e-14,1.501691792075229328e-17
1.481084924998349925e+04,1.232202396899285643e-14,1.259173024608518691e-17
1.485720769383772495e+04,1.220746735858357266e-14,1.262695869096962207e-17
1.490356613769195246e+04,1.201684918982426522e-14,1.369704914143552762e-17
1.494992458154617998e+04,1.188521330508928792e-14,1.119792596562694910e-17
1.499628302540040750e+04,1.172398544322375410e-14,1.655870062556272999e-17
1.504264146925463501e+04,1.156604789475681533e-14,9.027586123984575445e-18
1.508899991310886071e+04,1.155134656854397031e-14,9.398489266815134836e-18
1.513535835696308823e+04,1.157651399391063842e-14,7.408413413355343987e-18
1.518171680081731756e+04,1.147808852220041921e-14,1.676740467585222353e-17
1.522807524467154326e+04,1.139505934695832623e-14,8.398563618184684335e-18
1.527443368852576896e+04,1.133568631319508475e-14,7.994701798121867823e-18
1.532079213237999829e+04,1.125140719421903013e-14,1.155691150047072683e-17
1.536715057623422581e+04,1.111264528252449186e-14,9.396811463027102140e-18
1.541350902008845151e+04,1.102601748860834257e-14,8.879586151968983588e-18
1.545986746394267902e+04,1.098745090783882298e-14,1.237128853973860620e-17
1.550622590779690654e+04,1.091274798646526106e-14,7.659882200416149505e-18
1.555258435165113406e+04,1.074975157874734933e-14,1.110500719850362903e-17
1.559894279550536339e+04,1.061387944189810082e-14,9.281373640239838719e-18
1.564530123935958909e+04,1.049606844143589297e-14,1.112847105107060930e-17
1.569165968321381479e+04,1.051460460154735231e-14,1.102307515821368372e-17
1.573801812706804412e+04,1.041232228132174269e-14,1.251490271211916371e-17
1.578437657092227164e+04,1.018317955275396156e-14,1.746478326005338722e-17
1.583073501477649734e+04,1.019690492965948542e-14,1.293570238854288192e-17
1.587709345863072485e+04,1.004089197648045387e-14,1.064051778776325988e-17
1.592345190248495237e+04,9.946262673599217657e-15,8.999782522906891094e-18
1.596981034633917989e+04,1.000990753934875651e-14,1.154014732667375128e-17
1.601616879019340740e+04,9.910265795377656879e-15,1.712446142435917344e-17
1.606252723404763310e+04,9.780209166937997517e-15,9.950967413243220944e-18
