Wavelength,Flux,FluxErr
1.144169484026598911e+04,2.307168225482706967e-14,3.438385080568907153e-17
1.148804718564601535e+04,2.291607192175192330e-14,1.124409358004635337e-17
1.153439953102604159e+04,2.280464160545426184e-14,2.546332903426063474e-17
1.158075187640606600e+04,2.253212823815447715e-14,2.244520074440258564e-17
1.162710422178609224e+04,2.236001587677280077e-14,1.909154533915974072e-17
1.167345656716611848e+04,2.217427056520110155e-14,2.866701336013587558e-17
1.171980891254614471e+04,2.200706119479471520e-14,3.372886019587692104e-17
1.176616125792617095e+04,2.158346047274866413e-14,1.698280197373367520e-17
1.181251360330619536e+04,2.139287761620797114e-14,1.488730876508337882e-17
1.185886594868622342e+04,2.111798183697837215e-14,1.565458803291898335e-17
1.190521829406624784e+04,2.092333872527722302e-14,1.499401143469050637e-17
1.195157063944627407e+04,2.094873171896285577e-14,1.924251882959651096e-17
1.199792298482630031e+04,2.052647805956958345e-14,1.921056781974160569e-17
1.204427533020632654e+04,2.037139796963320022e-14,2.192862711845153526e-17
1.209062767558635278e+04,2.026345328269141369e-14,1.619319174487407431e-17
1.213698002096637720e+04,2.008206946644398804e-14,2.859514984441718217e-17
1.218333236634640525e+04,1.997999582119604370e-14,2.270772212176706843e-17
1.222968471172642967e+04,1.964953704865983885e-14,2.754930158288917778e-17
1.227603705710645590e+04,1.971686900785582935e-14,1.332571428155617982e-17
1.232238940248648214e+04,1.951974446210387658e-14,1.330342190081076031e-17
1.236874174786650656e+04,1.934171490148046156e-14,1.987375561981811295e-17
1.241509409324653461e+04,1.920958863540080136e-14,9.596812197454694855e-18
1.246144643862655903e+04,1.898070874064351502e-14,1.342691224079722531e-17
1.250779878400658527e+04,1.879295031375026225e-14,1.908078877696782317e-17
1.255415112938661332e+04,1.855893774052875512e-14,1.510879546537541185e-17
1.260050347476663774e+04,1.827381966525597911e-14,1.170929901155474485e-17
1.264685582014666397e+04,1.828379462934663266e-14,2.094611255087045416e-17
