Wavelength,Flux,FluxErr
8.217184248792638755e+03,1.084475220416854037e-13,1.716534649164896127e-16
8.241760004012143327e+03,1.085203773148121251e-13,1.945341500027784617e-16
8.266335759231647899e+03,1.071401674123959455e-13,2.023971148724312047e-16
8.290911514451152470e+03,1.071190831717480793e-13,3.342849709684584251e-16
8.315487269670658861e+03,1.059428829004041455e-13,2.196114404571396141e-16
8.340063024890161614e+03,1.028681722967553824e-13,2.143772154326925763e-16
8.364638780109666186e+03,1.043162166868812497e-13,1.331903558255698187e-16
8.389214535329172577e+03,1.032106347639919285e-13,2.023813610205846286e-16
8.413790290548677149e+03,1.032965400768877769e-13,2.139459375176527077e-16
8.438366045768179902e+03,1.021658693561831697e-13,1.679541703688039967e-16
8.462941800987686293e+03,1.029702091228411510e-13,1.729725254859195992e-16
8.487517556207190864e+03,1.000393666787811935e-13,1.648186409961235396e-16
8.512093311426695436e+03,9.699652751850831813e-14,2.113605119105278827e-16
8.536669066646200008e+03,9.145895598672225392e-14,1.623514786531254111e-16
8.561244821865704580e+03,9.541789245951118669e-14,1.649911315476785246e-16
8.585820577085209152e+03,9.784563515271554895e-14,2.242532342276922115e-16
8.610396332304713724e+03,9.780977341556144726e-14,1.712222704042469244e-16
8.634972087524218296e+03,9.674268832301778593e-14,2.038577222038555165e-16
8.659547842743722867e+03,9.285884495417375213e-14,1.326241879952641167e-16
8.684123597963227439e+03,9.604190693452915580e-14,2.375718696657230919e-16
8.708699353182733830e+03,9.854418886757318677e-14,2.254802939984824229e-16
8.733275108402238402e+03,9.930768225880491289e-14,1.665339813194846822e-16
8.757850863621741155e+03,9.632256222516789348e-14,1.924101185047279176e-16
8.782426618841247546e+03,9.551036521519464631e-14,1.390293848898642204e-16
8.807002374060752118e+03,9.384369051218819971e-14,1.309387442321850092e-16
8.831578129280256690e+03,9.447680378106240917e-14,1.912490378636374913e-16
8.856153884499761261e+03,9.412824495701335919e-14,1.376412937109817001e-16
8.880729639719265833e+03,9.306456148026124772e-14,1.381800135248701728e-16
8.905305394938770405e+03,9.498046690965764295e-14,1.718645721519006906e-16
8.929881150158276796e+03,9.375945615370182875e-14,2.058024427589813740e-16
8.954456905377781368e+03,9.362866353810915575e-14,1.214972201975490967e-16
8.979032660597284121e+03,9.269012120703279998e-14,8.756717202963229516e-17
9.003608415816790512e+03,9.285872897978547390e-14,1.853504879124612297e-16
9.028184171036295083e+03,9.043788131527800521e-14,1.653181959004877770e-16
9.052759926255797836e+03,9.157091146360618429e-14,1.227831890962028624e-16
9.077335681475302408e+03,9.114490006031045306e-14,1.114415339506400535e-16
9.101911436694808799e+03,9.027616262497484199e-14,1.234798989119447181e-16
9.126487191914313371e+03,9.038854448293300109e-14,1.500761411913878021e-16
9.151062947133817943e+03,9.015014209721315876e-14,1.104000818013801864e-16
9.175638702353322515e+03,9.009953566152065948e-14,1.210062807499751136e-16
9.200214457572827087e+03,8.877810148295229224e-14,1.132017591012519777e-16
9.224790212792331658e+03,8.644919247534466717e-14,1.649564328402753721e-16
